"" "GSM647591_W01_06Y4D_HG_U133_Plus2.CEL"	"GSM647592_W02_06Y4C_HG_U133_Plus2.CEL"	"GSM647593_W03_06Y4B_HG_U133_Plus2.CEL"	"GSM647594_W04_06Y4A_HG_U133_Plus2.CEL"	"GSM647595_W05_06Y49_HG_U133_Plus2.CEL"	"GSM647596_W06_06Y48_HG_U133_Plus2.CEL"	"GSM647597_W07_06Y47_HG_U133_Plus2.CEL"	"GSM647598_W08_06Y46_HG_U133_Plus2.CEL"	"GSM647599_W09_06Y45_HG_U133_Plus2.CEL"	"GSM647600_W10_06Y44_HG_U133_Plus2.CEL"	"GSM647601_W11_06Y43_HG_U133_Plus2.CEL"	"GSM647602_W12_06Y42_HG_U133_Plus2.CEL"	"GSM647603_W13_06Y41_HG_U133_Plus2.CEL"	"GSM647604_W14_06Y40_HG_U133_Plus2.CEL"	"GSM647605_W16_06Y3Y_HG_U133_Plus2.CEL"	"GSM647606_W17_06Y4J_HG_U133_Plus2.CEL"	"GSM647607_W19_06Y55_HG_U133_Plus2.CEL"	"GSM647608_W_JUL22_12_06XZ8_HG_U133_Plus_2.CEL"	"GSM647609_W_JUL22_1_06XZK_HG_U133_Plus_2.CEL"	"GSM647610_W_JUL22_2_06XZJ_HG_U133_Plus_2.CEL"	"GSM647611_W_JUL22_3_06XZH_HG_U133_Plus_2.CEL"	"GSM647612_W_JUL22_4_06XZG_HG_U133_Plus_2.CEL"	"GSM647613_W_JUL22_5_06XZF_HG_U133_Plus_2.CEL"	"GSM647614_W_JUL22_6_06XZE_HG_U133_Plus_2.CEL"	"GSM647615_W_JUL22_7_06XZD_HG_U133_Plus_2.CEL"	"GSM647616_W_JUL22_8_06XZC_HG_U133_Plus_2.CEL"	"GSM647617_W_JUL22_9_06XZB_HG_U133_Plus_2.CEL"	"GSM647618_W_JUL7_10_06XVW_HG_U133_Plus_2.CEL"	"GSM647619_W_JUL7_11_06XVV_HG_U133_Plus_2.CEL"	"GSM647620_W_JUL7_12_06XVU_HG_U133_Plus_2.CEL"	"GSM647621_W_JUL7_1_06XW5_HG_U133_Plus_2.CEL"	"GSM647622_W_JUL7_2_06XW4_HG_U133_Plus_2.CEL"	"GSM647623_W_JUL7_3_06XW3_HG_U133_Plus_2.CEL"	"GSM647624_W_JUL7_4_06XW2_HG_U133_Plus_2.CEL"	"GSM647625_W_JUL7_5_06XW1_HG_U133_Plus_2.CEL"	"GSM647626_W_JUL7_6_06XW0_HG_U133_Plus_2.CEL"	"GSM647627_W_JUL7_7_06XVZ_HG_U133_Plus_2.CEL"	"GSM647628_W_JUL7_8_06XVY_HG_U133_Plus_2.CEL"	"GSM647629_W_JUL7_9_06XVX_HG_U133_Plus_2.CEL"	"GSM647551_05_0025.CEL"	"GSM647552_05_0028.CEL"	"GSM647553_06_0008.CEL"	"GSM647554_06_0011.CEL"	"GSM647555_06_0012.CEL"	"GSM647556_06_0013.CEL"	"GSM647557_07_0007.CEL"	"GSM647558_10_0026.CEL"	"GSM647559_10_0038.CEL"	"GSM647560_11_0037.CEL"	"GSM647561_11_0057.CEL"	"GSM647562_11_0070.CEL"	"GSM647563_11_0075.CEL"	"GSM647564_11_0084.CEL"	"GSM647565_11_0086.CEL"	"GSM647566_11_0087.CEL"	"GSM647567_11_0090.CEL"	"GSM647568_11_0096.CEL"	"GSM647569_11_0109_A1.CEL"	"GSM647570_12_0001.CEL"	"GSM647571_13_0004.CEL"	"GSM647572_13_0005.CEL"	"GSM647573_13_0006.CEL"	"GSM647574_14_0004.CEL"	"GSM647575_14_0006.CEL"	"GSM647576_15_0021.CEL"	"GSM647577_15_0023.CEL"	"GSM647578_15_0025.CEL"	"GSM647579_17_0003.CEL"	"GSM647580_18_0004.CEL"	"GSM647581_19_0006.CEL"	"GSM647582_19_0007.CEL"	"GSM647583_19_0008.CEL"	"GSM647584_19_0009.CEL"	"GSM647585_20_0002.CEL"	"GSM647586_20_0006.CEL"	"GSM647587_20_0007.CEL"	"GSM647588_20_002.CEL"	"GSM647589_22_0010.CEL"	"GSM647590_22_0013.CEL"	"GSM647527_01_0087.CEL"	"GSM647528_01_0089.CEL"	"GSM647529_01_0092.CEL"	"GSM647530_01_0093.CEL"	"GSM647531_01_0095.CEL"	"GSM647532_01_0099.CEL"	"GSM647533_01_0109.CEL"	"GSM647534_01_0112.CEL"	"GSM647535_01_0114.CEL"	"GSM647536_01_0115.CEL"	"GSM647537_01_0116.CEL"	"GSM647538_01_0117.CEL"	"GSM647539_01_0129.CEL"	"GSM647540_01_0133.CEL"	"GSM647541_01_0134.CEL"	"GSM647542_01_0138.CEL"	"GSM647543_01_0142.CEL"	"GSM647544_01_0146.CEL"	"GSM647545_03_0003.CEL"	"GSM647546_04_0002.CEL"	"GSM647547_04_0006.CEL"	"GSM647548_05_0019.CEL"	"GSM647549_05_0020.CEL"	"GSM647550_05_0023.CEL"
"A1BG-AS1"	6.0134	5.7918	6.1437	5.8433	6.0105	5.9859	5.7992	6.0704	5.7879	6.247	6.3775	6.0471	6.2522	5.527	6.015	5.7636	5.7163	6.1459	6.0774	5.7105	5.9834	6.0798	6.0224	5.8933	6.0893	6.0567	6.272	5.7773	5.9748	6.0432	5.7507	6.0539	6.0224	5.8938	6.0568	6.1898	6.0992	5.9132	6.0774	5.8889	5.9468	5.6684	5.9337	5.7589	5.9582	5.731	5.4675	5.5462	5.9934	5.7013	5.4326	5.7372	5.9007	5.4684	5.432	5.7122	5.7304	5.8602	5.7522	5.8271	5.6939	5.4995	5.9613	5.4762	5.609	5.7833	5.7775	6.2455	6.2582	5.5505	5.8201	5.9034	6.064	5.6967	5.7989	5.7599	5.6566	5.7006	5.7472	5.4867	5.494	5.9366	5.4266	5.3914	5.5466	5.5924	6.0254	5.6197	5.3181	5.4435	5.6869	5.328	6.0923	5.6883	5.5308	5.4713	5.4276	5.5196	5.9148	5.5281	5.3056	5.6962	5.2234
"A2M-AS1"	6.7996	7.5175	5.6374	7.0076	6.3848	9.2701	8.8457	6.512	7.3818	4.6438	6.4175	5.5263	4.6733	9.9188	8.7989	10.0372	7.0942	5.5956	6.5472	5.9863	7.149	6.2191	7.2048	6.3551	5.6714	6.3673	6.1842	6.2828	6.0801	6.1842	7.1573	8.9842	8.1493	8.8809	10.045	7.595	5.1361	6.2175	7.093	5.5194	5.3141	7.6329	5.5604	5.048	5.5458	8.2174	4.7905	4.9304	6.082	5.2085	6.4066	5.3909	5.7016	7.1409	7.4979	6.3302	4.953	6.0617	4.7966	4.6718	6.032	6.4788	4.6457	6.3064	5.7982	5.6841	4.9986	6.0219	5.5876	6.7027	5.4524	5.0814	4.586	5.5653	5.0076	5.5091	5.2053	6.3565	7.507	4.0458	4.3709	7.1175	6.6618	5.9636	7.5564	7.1686	5.8488	5.6763	8.1334	8.9016	6.7998	6.4511	4.2508	5.2046	5.0942	5.188	7.1816	6.1582	4.7555	5.9022	4.8737	5.6535	5.3879
"AA06"	4.705	4.7068	4.8815	4.5147	4.7827	4.8067	4.5323	4.5811	4.9147	5.7302	4.7511	5.3656	5.4058	4.7307	4.7221	4.8231	4.5829	4.7496	4.7997	5.0396	4.772	4.7502	4.4466	5.1221	5.2608	5.3404	5.1697	4.4844	4.7003	4.8289	4.6966	5.0697	4.9502	4.589	5.2011	5.2428	4.9713	5.184	4.9993	5.2922	5.2198	5.0908	5.2089	4.9769	5.1225	4.909	5.0798	4.9251	5.4611	4.9238	5.0028	4.8084	5.3031	4.822	4.8468	4.8235	4.9585	5.3823	4.9731	5.2474	4.7499	5.0287	5.3615	4.3975	5.0317	5.4766	5.0885	5.4766	5.3322	4.5695	5.3778	5.2296	4.9512	4.9751	4.981	4.7215	4.8167	4.8956	4.8885	4.0458	4.4788	4.3428	4.2992	4.2344	4.4281	4.7066	4.7666	4.7081	3.9791	4.4573	4.52	4.3941	4.7625	4.5912	4.5189	4.4988	4.4377	4.3374	4.6315	4.6386	4.2365	4.2645	4.2326
"ABHD14A-ACY1///ACY1"	5.1304	5.2208	5.6955	6.1647	5.4865	5.2534	5.8143	5.6685	5.6902	6.0599	5.2764	6.0943	5.2383	5.1974	5.3396	5.5931	6.0897	6.2204	5.7133	5.7374	5.7348	6.0451	5.9698	5.7544	5.5673	6.2492	5.9989	5.265	5.7049	5.7013	5.4874	5.6902	5.8044	5.4722	5.7733	5.716	5.2919	5.6189	6.0657	6.0313	5.7642	5.7525	5.4116	5.3181	5.5136	5.5357	5.2318	5.0957	5.3371	6.2731	5.0993	4.7873	5.1837	5.4411	5.4157	5.2149	5.4212	5.7612	5.4739	5.3459	5.4929	5.9106	5.6384	5.1902	5.6209	5.9615	5.2732	5.8349	5.6539	5.8041	5.5402	5.6126	5.5489	5.5396	5.1419	4.9495	5.0822	5.0702	5.6698	5.0039	5.4681	6.0427	5.6897	5.7096	6.1869	5.5475	5.8642	5.5137	5.1517	5.6576	5.6712	5.3392	5.5791	5.3192	5.2548	5.776	5.0978	5.8921	5.8044	5.7742	5.5913	5.5533	5.6346
"ABI2///RP11-363J17.1"	4.0328	3.9953	3.736	4.0351	3.6924	3.8967	3.9355	3.9544	4.1301	4.5216	3.5912	4.2744	4.8629	4.068	3.9229	3.9651	3.8229	3.9305	4.097	4.14	4.0873	4.4237	3.8347	4.1626	4.3746	4.2215	4.1501	3.8969	3.755	3.8304	3.8823	4.422	4.2393	4.2993	4.0059	4.3281	4.1259	4.0535	4.1335	3.7752	4.3599	4.3435	3.7933	4.337	4.6017	3.7116	4.1497	3.9305	4.3729	4.2171	3.5503	4.0495	4.3955	3.9376	4.2122	3.9189	4.172	4.6964	4.0274	4.7721	4.2971	4.249	4.7402	4.2784	4.3367	4.6618	4.2978	4.9707	4.9901	4.1965	4.305	4.4477	4.0621	4.5251	4.194	4.1644	3.9062	4.8135	3.922	3.8932	3.7996	3.8039	3.5303	3.6752	3.7195	3.9534	3.9404	3.8389	3.6086	4.026	3.5575	3.7482	4.0539	4.4225	4.1601	3.7583	3.9322	4.8819	4.2177	3.9364	4.026	3.5589	4.2469
"AC000111.3"	2.713	3.0339	2.6442	2.4037	2.485	2.5669	2.5226	2.6349	2.7277	2.9165	2.5567	2.7084	2.7763	2.578	2.6042	2.6305	2.485	2.575	2.6084	2.6469	2.8026	2.6738	2.6505	2.6376	3.0493	3.047	2.6182	2.885	2.6738	2.5966	2.6965	2.6305	2.7541	2.5103	3.0051	2.7904	2.5662	2.522	2.8517	2.7641	2.7997	2.6747	2.5822	2.6745	2.5658	2.5935	2.5705	2.531	2.9375	2.5441	2.591	2.5244	2.6968	2.4265	2.7029	2.5242	2.7012	3.0629	2.8005	2.9246	2.8864	2.5304	2.6527	2.7251	2.7308	2.6116	2.8311	2.8843	3.1848	2.6108	2.6114	2.9284	2.5595	2.5474	2.552	2.7414	2.4441	2.4755	2.6379	2.2444	2.3485	2.426	2.4158	2.4207	2.3232	2.4612	2.425	2.4815	2.2432	2.5397	2.4651	2.5356	2.5116	2.3106	2.3621	2.4982	2.342	2.4165	2.6658	2.487	2.2938	2.5359	2.5
"AC002059.10"	4.1712	3.8711	4.2666	3.8427	3.9454	3.7366	3.9996	4.2728	4.2169	4.5625	4.2458	4.7169	4.6086	3.5968	3.8833	4.2966	4.5224	4.6506	4.8576	4.2824	4.1903	4.3758	3.82	4.1671	4.1612	4.4898	4.7066	4.814	3.9976	4.057	3.9032	3.9907	4.1864	3.8675	4.1161	5.1134	4.2676	3.9358	4.4621	4.4221	4.8596	4.5316	4.1088	4.5749	4.4319	4.0451	3.9019	4.0002	4.0599	3.7615	4.2491	4.1563	4.5413	3.974	4.373	4.1446	4.1359	4.74	4.4555	4.7788	4.296	3.9943	4.6307	4.0098	4.3854	5.0203	4.5947	4.5225	4.9321	3.9565	4.31	4.8094	4.2628	4.4266	4.2007	4.1496	4.2881	5.0332	4.0439	3.791	4.1488	4.177	3.9175	3.9407	3.9016	4.1901	4.3557	4.1481	4.1538	4.3776	4.109	4.264	4.6109	4.1233	3.7652	3.9341	4.1782	3.9836	4.0778	4.0347	4.3231	3.9996	4.2154
"AC002064.5"	4.0093	4.0727	4.0789	3.9305	4.25	3.7871	4.2504	3.9574	4.0593	4.8619	3.8962	4.5462	4.5588	3.9454	4.136	4.1975	4.2567	4.286	3.7382	3.9721	3.9768	3.6688	3.9431	3.9492	3.9447	4.1472	4.2519	3.8802	3.8987	4.3806	4.2613	4.412	4.3866	4.0579	4.3347	3.9297	4.0104	4.2736	3.9885	4.2506	4.184	3.8014	3.6655	3.8139	4.004	3.8751	3.754	4.1066	4.2799	3.7517	3.8616	3.8737	3.855	3.8624	3.8261	3.9484	3.9214	4.3178	3.7504	4.1487	3.6666	3.8552	3.9496	3.7999	3.8412	4.0085	3.9285	4.7794	4.5589	3.8182	3.9458	3.8444	3.8804	3.6415	3.8329	3.8538	4.0202	3.7315	4.0958	3.5596	3.467	3.5794	3.5923	3.2583	3.4937	3.7061	3.6827	3.588	3.5507	3.6984	3.6177	3.286	3.8004	3.8394	3.81	3.5797	3.5236	3.6286	4.1016	3.988	3.5694	3.3031	3.5591
"AC002310.12///AK056973"	5.7672	5.486	5.5272	6.588	5.7477	5.6373	6.5325	5.4396	5.4024	5.5914	5.5759	4.3442	4.9006	5.5116	5.25	5.5184	5.3057	4.9529	5.1676	5.0045	5.2252	5.0638	5.4265	5.1376	5.7238	5.435	5.0389	5.3796	5.6706	5.435	5.478	5.7939	5.3492	5.9644	5.4393	5.0374	5.4699	4.9817	5.6132	5.1266	5.1466	5.412	4.2246	4.8112	4.6912	5.2829	5.0678	5.0382	4.9276	4.6287	5.4254	5.3482	4.7774	5.0617	5.0145	5.022	4.8516	4.963	4.8573	4.8905	4.7124	5.7407	4.8045	5.0153	4.963	4.7429	4.9762	4.4824	4.1869	5.0388	4.8931	4.404	5.2028	4.8238	5.1737	5.9207	5.2253	3.9874	5.1962	5.2533	5.4039	5.6349	5.7492	5.2736	4.7689	5.4787	5.0103	4.7715	5.201	5.416	5.0563	5.0956	4.9499	4.4453	5.2992	5.33	5.3481	5.3319	5.2222	5.1265	5.3431	4.8756	4.736
"AC002310.7///ZNF785"	5.243	5.2388	5.2326	5.097	5.4922	5.293	5.2101	5.4562	5.9444	6.2487	5.3341	6.15	6.2491	5.4896	5.0126	5.362	5.3883	5.5096	5.561	5.5751	5.7563	5.7291	5.0291	5.7253	5.9574	6.1082	5.9808	5.2559	5.5802	5.7353	5.6299	5.5966	5.691	5.301	5.4891	6.0516	5.6073	5.716	5.6094	6.1115	6.4136	5.9125	5.5462	5.9278	5.6488	5.4141	5.1299	5.3881	6.2676	5.1565	5.095	5.3638	5.9811	5.3769	5.5627	5.3909	5.9206	6.0658	5.4098	5.9218	5.7336	5.2596	5.8298	5.349	5.6197	6.3483	6.0403	6.0446	6.5303	5.3299	5.7026	6.1988	5.6544	6.0899	5.491	5.2864	5.6345	6.0322	5.5888	5.3725	5.2021	4.9944	4.9946	4.8047	5.0248	5.4255	5.8447	5.3672	5.1141	5.5368	5.3728	5.3199	6.0895	5.655	5.3606	5.3606	5.1805	4.6427	5.3973	5.6577	5.0268	5.2021	5.5427
