"GSM648590"	"GSM648591"	"GSM648592"	"GSM648593"	"GSM648594"	"GSM648595"	"GSM648596"	"GSM648597"	"GSM648598"	"GSM648599"	"GSM648600"	"GSM648601"	"GSM648602"	"GSM648603"	"GSM648604"	"GSM648605"	"GSM648606"	"GSM648607"	"GSM648608"	"GSM648609"	"GSM648610"	"GSM648611"	"GSM648612"	"GSM648613"	"GSM648614"	"GSM648615"	"GSM648616"	"GSM648617"	"GSM648618"	"GSM648619"	"GSM648620"	"GSM648621"	"GSM648622"	"GSM648623"	"GSM648624"	"GSM648625"	"GSM648626"	"GSM648627"	"GSM648628"	"GSM648629"	"GSM648630"	"GSM648631"	"GSM648632"	"GSM648633"	"GSM648634"	"GSM648635"	"GSM648636"	"GSM648637"	"GSM648638"	"GSM648639"	"GSM648640"	"GSM648641"	"GSM648642"	"GSM648643"	"GSM648644"	"GSM648645"	"GSM648646"	"GSM648647"	"GSM648648"	"GSM648649"	"GSM648650"	"GSM648651"	"GSM648652"	"GSM648653"	"GSM648654"	"GSM648655"	"GSM648656"	"GSM648657"	"GSM648658"	"GSM648659"	"GSM648660"	"GSM648661"	"GSM648662"	"GSM648663"	"GSM648664"	"GSM648665"	"GSM648666"	"GSM648667"	"GSM648668"	"GSM648669"	"GSM648670"	"GSM648671"	"GSM648672"	"GSM648673"	"GSM648674"	"GSM648675"	"GSM648676"	"GSM648677"	"GSM648678"	"GSM648679"	"GSM648680"	"GSM648681"	"GSM648682"	"GSM648683"	"GSM648684"	"GSM648685"	"GSM648686"	"GSM648687"	"GSM648688"	"GSM648689"	"GSM648690"	"GSM648691"	"GSM648692"	"GSM648693"	"GSM648694"	"GSM648695"	"GSM648696"	"GSM648697"	"GSM648698"	"GSM648699"	"GSM648700"	"GSM648701"	"GSM648702"	"GSM648703"	"GSM648704"	"GSM648705"	"GSM648706"	"GSM648707"	"GSM648708"	"GSM648709"	"GSM648710"	"GSM648711"	"GSM648712"	"GSM648713"	"GSM648714"	"GSM648715"	"GSM648716"	"GSM648717"	"GSM648718"	"GSM648719"
"A1BG-AS1"	6.403	6.0826	5.6216	5.545	5.6584	5.6479	6.281	5.2442	5.7386	5.223	5.5191	5.1702	4.9696	5.6164	5.2244	5.589	5.2303	5.492	5.3252	5.2116	5.3299	5.0913	5.3986	5.2769	5.4394	5.74	5.5333	5.2222	5.0085	5.1264	5.8163	5.244	5.6451	5.2204	5.2571	5.5133	5.1941	5.1194	5.1043	5.0255	5.2587	5.5243	4.9305	5.7391	5.6784	5.7197	5.5654	5.4042	5.1798	5.361	5.5626	5.7217	5.6502	6.5168	5.546	6.2099	6.1108	5.9522	5.8286	5.7681	5.7602	5.2192	5.6702	5.782	5.2847	5.767	6.3903	5.8399	5.5037	5.8282	5.1006	5.4371	5.9506	5.6558	5.8446	5.4389	5.2184	5.9357	5.7112	5.5382	5.5017	5.2153	5.8712	5.7608	5.738	5.6718	5.5278	6.0127	6.188	5.4339	5.7309	5.2967	5.5094	4.986	5.2146	5.2806	5.4985	4.9665	5.5604	5.5511	5.131	5.1019	4.9555	5.4848	5.1168	5.7721	5.3285	4.9734	5.678	5.3298	5.6268	5.495	5.722	5.3783	6.0836	5.7529	6.2077	5.0205	5.6104	5.1798	4.9141	5.2742	5.2	5.257	5.6499	5.8475	5.0838	5.1665	5.335	5.8677
"A2M-AS1"	5.6456	8.2565	6.2377	4.6445	6.5748	6.6174	5.3159	7.2932	5.7477	6.0382	4.839	5.9812	5.8697	6.0774	4.8255	4.8809	8.3588	6.2173	5.003	4.9873	6.2311	8.6428	6.89	8.5818	6.2767	6.3177	8.7458	7.6392	5.9101	6.5633	6.5049	7.8514	5.1277	6.5962	5.6264	5.7643	5.3318	7.6432	7.2981	7.1291	8.9567	7.8545	8.1441	5.7699	4.8647	4.7731	4.7283	8.7647	7.2212	8.7012	9.2145	10.0175	4.6068	4.9232	4.7963	6.4566	5.2805	5.3979	4.1336	6.5856	6.0571	6.9546	4.6658	5.774	6.2516	5.4461	4.6287	5.8165	5.0569	6.5087	5.9904	6.1102	5.7225	6.5801	5.6174	5.3181	5.8226	4.7859	6.6538	7.8723	7.2193	6.2002	8.487	7.7149	8.1605	4.4139	7.1716	5.7703	6.3238	7.3069	4.5028	6.6049	5.3584	5.71	4.367	4.6628	9.0143	7.3894	10.2295	8.7445	8.1323	7.8998	8.2174	8.8305	8.7173	5.1968	5.1533	4.9435	5.3034	6.1481	6.5765	6.5844	4.0844	5.6333	5.0705	5.5131	4.9831	7.2382	5.9823	5.381	5.598	6.458	7.1261	5.8116	6.5327	4.3883	7.2313	6.6424	6.0808	6.1008
"AA06"	5.8731	4.8866	5.0915	5.549	5.4157	5.5122	5.4905	5.1309	4.7606	5.3059	5.419	4.8984	5.001	4.9516	5.1703	5.7736	5.1071	4.5935	4.9545	5.1506	5.182	4.7766	5.3095	5.3046	5.3417	5.1906	5.3337	5.3517	5.0275	5.2717	5.2535	5.2711	5.1586	4.9005	4.8174	5.1644	5.1542	4.9479	4.9414	4.9107	4.9	4.7502	4.7155	5.1604	5.1732	5.1901	5.2388	5.6649	4.8929	5.3328	5.0208	5.505	5.5615	6.1129	4.9148	5.5907	5.604	5.7057	5.2709	5.2351	5.1659	4.9145	5.3072	5.1764	5.1639	5.315	5.4008	5.1763	5.2889	4.7573	5.2021	5.0157	5.4377	5.4606	5.1699	5.5469	4.7771	5.6538	5.4737	5.0059	5.1021	4.8317	5.6089	5.0817	5.078	4.9537	5.2904	5.5113	5.6898	4.6963	5.1056	5.4172	5.6932	5.0059	5.4348	5.2902	5.3196	4.8286	5.0543	5.1953	5.2742	4.7967	4.9856	5.0706	4.8123	5.2411	5.5941	4.9539	5.2226	5.179	4.7429	5.3032	5.2787	5.206	6.2031	5.315	6.347	5.188	5.5754	5.4108	4.8613	4.5259	4.7907	5.0157	5.4793	5.262	4.7562	5.063	5.6913	4.6367
"ABHD14A-ACY1///ACY1"	5.7527	6.5255	6.388	6.3265	6.6483	6.4233	6.5376	5.8721	5.6908	5.5495	6.0461	5.8395	5.5365	6.0305	5.5661	5.8787	5.6792	5.757	5.4928	5.6098	5.3626	5.7289	5.9226	5.7746	5.8249	5.9778	5.5686	5.8907	6.575	5.8646	6.4767	6.2932	5.6618	5.3728	5.2336	6.0647	5.9149	6.364	6.9367	5.6791	5.213	5.5857	5.6609	6.0276	5.6766	6.6456	5.9112	6.2058	5.5126	5.7327	5.6197	5.2037	6.6714	7.3413	5.9296	6.9348	5.4529	6.6552	6.0489	6.8332	6.6149	5.556	6.145	5.6491	5.0184	5.8116	7.2909	6.1839	6.2548	6.4871	6.2489	5.1864	5.3664	5.4683	5.4774	5.4877	5.1824	6.7386	6.7871	5.9107	6.9029	6.26	6.5356	6.1924	6.5859	7.2419	6.6962	7.2746	6.5751	6.9194	6.4684	6.2033	6.5159	5.3881	5.2777	5.7101	6.3724	5.4504	5.6005	6.2834	6.2644	5.8673	5.3303	5.2355	5.563	6.6309	6.0053	5.85	6.3989	6.2732	5.9919	6.2969	5.9175	6.6363	6.9447	6.7046	6.6705	6.5155	6.3509	5.7897	5.7557	5.9806	6.0666	5.7019	5.5752	6.6905	5.8528	5.7499	6.3728	5.5397
"ABI2///RP11-363J17.1"	4.4146	3.2616	4.0909	4.247	3.6876	3.8713	4.3998	3.9968	4.0487	3.8708	3.906	3.7692	3.9447	3.5316	3.6319	4.0046	3.7051	3.4204	3.8137	4.0102	4.2008	3.4819	3.5856	3.8602	3.5928	4.242	4.2785	3.9746	3.5632	3.7281	3.8607	4.0137	3.5282	3.889	3.6248	3.8586	3.7867	3.4301	3.2404	3.5847	3.5116	3.5951	3.8692	3.7751	3.92	3.5608	4.0156	4.1543	3.762	4.1814	4.3308	3.7905	4.0154	4.6362	3.7194	3.8714	4.6373	3.8543	3.37	3.7862	3.6782	3.7758	3.8479	3.4955	3.9796	3.4124	3.7436	3.5852	4.1524	3.9616	3.8145	4.049	4.4521	4.2582	4.0584	4.67	3.8783	3.6185	3.5191	3.5966	3.3973	3.6458	4.3744	3.8421	3.8537	3.6302	4.2014	4.1406	4.4358	3.6634	3.8336	4.1774	4.402	4.6491	4.5274	4.5091	3.8182	4.131	4.2317	3.6226	3.7315	3.6529	4.1817	3.7822	3.7381	3.9581	4.234	4.2098	3.8878	3.9172	3.5964	3.5601	3.7177	4.0925	4.1392	3.3224	4.3563	3.8762	3.8692	4.6743	3.5747	3.4498	3.6034	3.7837	4.247	4.3705	3.5297	3.9531	4.3454	3.5382
"AC000111.3"	2.7805	2.4682	2.518	2.4616	2.6633	2.4034	2.4448	2.4245	2.6234	2.6446	2.641	2.5882	2.6137	2.4903	2.4169	2.4907	2.5274	2.4047	2.519	2.4401	2.7901	2.5782	2.4682	2.6625	2.5177	2.5258	2.5087	2.5393	2.4006	2.3914	2.4828	2.4329	2.4229	2.444	2.4602	2.4122	2.45	2.3763	2.3571	2.5012	2.5654	2.3937	2.4477	2.4017	2.4488	2.4308	2.5805	2.7683	2.517	2.624	2.4543	2.4695	2.4042	2.6688	2.5461	2.65	2.6426	2.8365	2.3965	2.4285	2.4785	2.3825	2.4491	2.3391	2.4307	2.6784	2.4355	2.3392	2.3762	2.4082	2.5941	2.7597	2.4549	2.8716	2.6093	2.6452	2.4263	2.4455	2.575	2.2665	2.5852	2.3255	2.6178	2.3581	2.5886	2.495	2.4794	2.6202	2.6102	2.4787	2.4722	2.3136	2.5209	2.878	2.5587	2.5961	2.3714	2.587	2.5816	2.5988	2.6459	2.4018	2.4918	2.3856	2.4243	2.2779	2.4492	2.5235	2.4243	2.5058	2.4418	2.4208	2.6875	2.3564	2.6108	2.3793	2.8895	2.4946	2.5369	2.4852	2.3795	2.3318	2.3856	2.437	2.5566	2.6098	2.3784	2.4521	2.5516	2.4042
"AC002059.10"	4.7499	3.727	3.5207	4.1197	3.4143	3.955	4.8491	3.5318	3.4871	3.8685	3.7847	3.7201	3.8492	3.5903	3.7126	4.1721	4.0732	3.4345	3.9209	3.8193	3.9563	3.8045	3.7083	3.7092	4.2897	3.7259	3.6035	4.2128	3.2649	3.7614	3.9308	3.649	3.5168	3.5071	3.6136	3.686	3.6192	3.5499	3.81	3.776	3.8225	3.4752	3.6627	4.0795	3.4193	4.1657	4.0219	3.7646	4.257	4.0266	4.0295	4.2362	4.3078	5.0344	3.8069	4.7262	4.511	4.6207	4.8308	4.1299	4.0633	3.762	4.0652	3.6612	3.83	3.8671	4.4393	4.0223	3.774	3.8488	3.5764	4.3036	4.0075	3.8141	3.5616	3.5771	3.7911	4.2352	4.3659	3.8873	4.0039	3.9295	4.1388	4.5863	3.9322	3.7109	4.1517	4.0943	4.7498	4.4415	3.3213	3.9806	3.3272	3.5355	3.851	3.4505	4.029	3.665	3.9846	4.4142	4.7579	3.5805	3.9166	3.5637	3.9135	4.1972	3.4936	3.3923	3.8406	3.806	3.6394	3.7779	4.35	3.4887	4.4461	4.5891	4.744	3.5069	3.8381	3.9019	3.6299	3.3565	3.4054	3.4773	4.0558	4.7498	3.4446	3.5718	4.4521	3.601
"AC002064.5"	4.1248	3.5574	4.1378	3.7675	3.7785	3.9687	4.242	4.1122	4.1794	3.9112	3.9887	3.6574	3.7132	3.88	3.8993	3.9045	3.9808	4.0236	3.9727	3.858	4.2391	4.1967	3.5996	3.9066	4.1895	4.2276	4.1936	3.9467	3.5434	3.6242	4.0882	3.895	3.9026	3.9128	3.7259	4.2092	3.9756	3.7285	3.7616	3.1287	3.4264	3.6528	3.5172	3.8955	4.3951	3.9098	3.7966	4.3717	3.6053	3.912	3.8795	3.741	3.9886	5.0482	3.8155	4.3435	3.5185	3.8338	3.627	4.0046	3.9195	3.6246	3.6962	4.2073	3.4971	3.7558	4.3309	3.811	4.0057	3.7734	4.165	3.8626	3.9011	3.9831	3.6088	3.7491	3.601	4.0614	4.1128	3.5897	4.2966	3.6858	3.6838	3.7544	3.8713	3.9065	4.0735	4.0434	3.5271	4.01	3.9328	4.0174	5.1572	3.7997	3.8798	4.1738	3.3611	3.6994	3.6998	3.8087	3.7789	3.768	3.8732	3.7364	3.6063	4.508	4.7243	4.0911	4.0137	3.4014	3.6458	4.0791	4.0508	3.5819	4.1842	4.0823	3.9501	4.3433	3.8675	4.0853	3.8584	3.7044	3.8244	3.6906	4.1714	3.9467	3.7075	3.8639	4.1292	3.7224
"AC002310.12///AK056973"	4.9795	5.4164	4.9954	4.7119	5.1189	4.7917	4.6216	5.2363	5.3637	5.8264	4.9245	5.0237	4.8075	5.6335	5.191	4.7553	5.0327	5.103	5.3002	5.1956	5.6151	5.4336	5.2774	5.2145	4.7386	4.6248	5.1767	5.3608	5.2493	5.5089	5.0226	5.2055	5.4057	5.1916	5.5595	5.1872	5.5979	4.8517	5.5419	5.3117	5.1451	5.7792	5.1834	5.2603	5.5497	5.371	5.1207	5.1353	5.4319	5.2268	6.2001	4.5744	5.2555	4.6337	4.8295	4.8715	5.2714	4.5033	5.079	4.9558	5.0268	5.1677	4.9965	5.2182	6.0954	5.4733	4.7166	5.0564	5.2973	4.7481	5.5084	5.1621	4.7698	5.7769	5.5889	5.2868	5.1157	4.8104	4.7677	4.8742	5.1931	5.6164	5.2754	4.916	4.9292	5.2429	4.6883	4.7374	5.1392	5.1568	4.9455	5.15	4.9396	5.1473	5.0469	5.013	4.8963	5.037	5.4794	4.9937	4.5088	5.6844	5.2041	5.5569	4.7198	4.6766	4.936	5.6258	5.3596	5.0314	4.9577	4.5361	4.6895	4.9115	5.3201	4.8094	4.5516	5.1376	5.2133	4.8318	5.3368	5.3196	5.885	5.3133	5.0536	4.7498	5.4855	5.32	4.2549	4.9834
"AC002310.7///ZNF785"	5.7752	4.6489	5.4669	5.1801	5.1961	6.066	6.2698	5.1499	5.3604	5.2675	5.6894	5.4854	5.1072	5.2211	5.2656	6.142	5.6955	5.2555	5.0481	5.225	5.3687	5.2481	5.2988	5.4084	5.7473	5.9131	5.4837	5.439	5.1879	5.3725	5.7355	5.4772	4.9519	5.2029	4.9899	5.6006	5.224	4.8865	5.2637	5.3527	5.6736	5.0541	5.3463	5.4249	5.6575	5.5183	5.2177	5.7865	5.5029	5.7767	5.6629	5.4641	5.8867	6.7803	5.2166	5.9343	6.0215	5.8673	5.5964	5.7238	5.5612	4.9971	5.4889	5.1789	5.0066	5.4522	5.799	5.33	5.2092	5.7686	5.4356	5.1289	5.4345	5.4477	5.4445	5.7504	5.4436	5.9412	6.1273	5.0808	5.6377	5.4013	5.8273	5.1985	5.5463	5.1856	5.3419	6.2642	6.7606	5.4977	5.4782	5.3687	5.8307	5.6809	5.5503	5.6376	5.7639	5.3924	5.6927	6.0791	5.6208	5.0524	5.4454	5.3771	5.2991	5.8521	6.1918	5.5074	5.9657	5.2441	5.5763	5.4368	5.7129	5.2498	5.8341	5.527	6.1456	5.1107	5.6792	5.801	5.1003	5.0426	5.2554	5.1731	6.1818	5.8759	5.0187	6.0511	4.9161	5.3265
