"GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"A1BG-AS1"	5.9454	5.4551	4.8393	7.7094	5.0668	7.0678	8.108	7.1181	7.816	4.8351	6.048	7.0802	6.2643	5.1278	4.8824	4.4436	7.1766	4.2173	5.3019	4.3878	4.8314	6.8174	4.5648	5.0618	5.232	4.7533	5.4784	5.3944	5.6261	4.8685
"A2M-AS1"	10.695	10.5964	7.0113	6.7811	6.9212	6.2355	6.7835	7.4429	9.0788	8.5664	10.524	9.8715	10.8382	10.3261	10.3924	9.7354	9.2604	10.4102	10.2412	10.1472	8.7141	9.1976	11.2441	10.8325	11.2004	8.2751	9.781	9.9384	9.2783	10.3032
"AA06"	8.1943	8.1761	5.8204	7.7616	6.2713	6.6785	8.4609	7.7335	6.0697	6.5611	7.867	6.0101	7.2659	7.0434	7.9024	7.1286	5.6514	8.055	6.6774	8.4679	7.7689	5.1137	7.4136	6.8202	6.7013	6.9479	7.6488	8.2743	6.5871	8.7313
"ABHD14A-ACY1///ACY1"	8.26	8.4366	7.1419	7.556	7.257	8.0286	8.5668	7.8601	6.1369	7.4039	8.9008	8.5468	8.7405	8.4538	7.9709	7.664	8.6614	8.6645	8.0947	7.5011	7.7473	7.8838	8.1277	8.0975	8.3261	8.3989	8.7935	9.1943	8.4408	8.392
"ABI2///RP11-363J17.1"	8.0897	4.4842	7.009	7.699	5.1548	7.4626	4.6083	3.913	6.0646	5.47	5.5398	6.531	7.019	6.3762	7.7226	5.4598	6.2869	7.2619	6.8766	7.562	5.9171	4.0327	6.7135	6.8823	6.4555	6.4758	7.9851	4.1521	6.7492	6.7444
"AC000111.3"	1.9477	6.0145	3.5762	4.8265	2.1905	1.4058	2.4813	0.5079	5.122	1.2286	5.5199	5.1687	4.0834	2.2132	5.0671	5.7185	2.4062	3.8468	5.042	5.9886	5.5238	4.1224	1.8988	2.5458	2.7011	5.3094	5.3779	3.6116	2.4413	2.3865
"AC002059.10"	3.8911	5.9657	4.0611	6.5097	3.7925	5.7943	7.4588	4.7526	5.2267	6.366	5.898	5.5608	3.7266	6.3586	6.7068	6.0931	5.3112	6.3382	6.567	5.5755	6.1489	2.3228	4.0746	5.8687	6.6748	5.9315	7.1184	7.3077	3.2193	6.6671
"AC002064.5"	5.9003	6.9652	6.1176	5.0328	5.7822	5.5369	5.9693	2.3621	5.0247	2.8201	3.5766	5.6347	4.9842	5.8531	6.3938	4.4503	2.6977	4.2696	5.5627	5.3354	3.5356	2.0053	3.4862	3.4531	5.5292	2.8075	2.4326	3.6834	6.1646	7.0182
"AC002310.12///AK056973"	8.2114	7.7794	7.6704	7.9899	6.6032	7.7998	8.5034	7.6581	8.0257	7.3218	7.6958	7.8914	8.0685	7.7609	8.0459	7.7696	7.7215	7.731	8.1431	7.9157	7.9417	7.398	7.4546	8.2643	8.0559	7.8691	8.1227	7.985	8.4734	7.6145
"AC002310.7///ZNF785"	7.0674	8.262	6.4289	7.4401	7.7219	7.1023	6.8212	7.8277	6.2707	7.4422	7.7326	6.8101	7.2342	6.4161	7.4736	6.4647	6.5518	7.85	7.0048	5.9443	8.6576	6.8408	7.1627	6.9499	7.664	8.0737	6.4491	8.2596	7.2299	6.4807
"AC003973.4"	7.2673	4.5409	5.9941	3.6631	5.2523	6.4644	6.9808	7.0809	5.1716	2.3383	6.0873	6.3384	2.6695	3.2245	6.8125	2.6628	6.6048	5.1214	6.1359	6.8606	5.6249	0.6684	6.4454	6.2029	5.7195	5.5727	6.1038	4.1769	6.1873	6.9741
"AC003986.5///BC043576"	8.0502	7.1237	8.4514	8.2451	8.3056	5.8531	8.141	6.0003	7.6885	7.3608	5.2968	8.6951	5.8409	7.3644	7.5547	6.4136	4.3671	6.8797	7.0205	5.2171	7.75	7.1367	7.2922	7.5098	6.9293	4.2181	3.7333	7.8469	6.3834	4.9703
"AC004158.3///AK055364"	4.5625	3.748	6.9352	3.4	4.4748	5.3499	3.6103	6.0184	2.2569	4.1421	2.5294	4.9944	5.8161	1.8141	5.2633	5.1495	0.432	4.8624	2.4803	6.4695	2.7017	5.0235	1.8795	3.2768	2.7697	6.2217	3.1535	3.5417	3.0071	3.5782
"AC004490.1///AX746733"	5.1259	4.9127	6.4405	3.3346	2.5862	2.2797	4.2815	5.23	3.1149	3.1327	2.4672	3.1602	2.3578	3.0016	4.737	3.5989	3.4951	4.0267	4.8887	4.3946	3.6882	1.9356	2.8806	4.9992	3.1828	3.5197	4.3666	3.9114	3.6049	3.9581
"AC004538.3///BC040327"	4.4536	3.6351	3.5303	6.9995	6.5207	5.5656	5.8098	3.7853	6.8852	6.5321	6.7991	6.7214	5.845	5.9723	6.8791	6.0937	5.1968	5.9699	3.6384	6.8099	7.2023	5.5913	3.9341	6.427	4.4823	5.9303	4.3486	7.039	7.8901	6.6544
"AC004951.6///AX747182"	10.8163	10.6907	9.2024	10.1713	9.7646	9.9567	9.8295	9.0554	8.3437	8.8094	9.6252	10.4263	10.2043	9.8319	11.2598	9.8983	10.6495	10.9542	9.7148	10.9114	10.5312	9.7063	10.6366	10.5609	10.7876	9.5327	9.7439	8.9289	10.129	10.647
"AC005162.4"	4.3879	4.7125	3.7988	6.954	3.1867	6.5012	5.1539	4.6135	6.0705	6.5653	6.4165	4.8254	5.2591	6.1068	6.1196	3.7488	5.8905	3.8641	3.158	4.689	6.871	2.6822	4.6851	5.6188	3.5293	6.1967	5.1035	6.7782	7.0303	4.5582
"AC005256.1"	5.9653	4.9487	3.5968	7.6016	3.4846	3.6432	5.7746	5.0412	3.6595	4.821	3.5743	3.5299	3.7234	3.8404	4.5811	3.8694	5.946	4.2354	3.6652	4.2495	5.7624	4.4955	4.5377	4.1506	4.7316	4.8598	7.5062	5.1037	5.0217	4.9687
"AC005306.3"	6.3242	7.8561	7.1766	4.2397	7.1695	7.5862	5.7114	6.9334	5.1399	7.0727	8.3538	9.006	5.9681	8.0234	8.4035	7.7666	7.749	8.7084	8.6283	8.1597	8.0531	7.5888	7.8349	8.0379	7.9729	7.5687	6.2032	8.5806	8.3661	7.0327
"AC005498.3"	7.0071	6.9556	6.4358	7.5981	7.3167	7.0887	6.9224	6.2932	6.2008	6.9049	6.8993	7.075	6.814	6.6133	7.2689	7.6591	6.5607	7.0255	7.2784	6.2658	6.391	7.2695	7.3426	6.997	7.9436	7.5781	8.327	5.7521	6.2659	7.768
"AC005523.2"	8.9496	8.1584	7.4528	5.0775	7.3954	7.714	7.972	7.4214	7.0897	7.462	7.7363	6.9307	7.0466	7.5061	7.9744	7.2776	7.867	8.1584	7.8355	8.0785	6.7689	7.1953	6.9632	7.0313	8.2404	8.2065	7.385	7.6512	8.4827	8.1839
"AC005523.3"	6.3582	5.1274	3.6651	4.9635	6.0369	3.9582	5.8247	4.8303	3.4144	6.0778	4.7479	3.5424	4.4896	4.2131	5.957	6.9263	4.7849	5.2314	5.4248	6.6594	5.1322	5.4468	4.0744	6.0866	4.1279	7.4105	5.5051	4.7465	6.4181	5.5367
"AC005537.2"	4.6849	4.0294	1.7403	3.7856	2.4081	3.2201	5.1215	3.4028	2.6949	1.5744	3.8139	3.5886	4.7546	4.5179	5.458	1.6275	3.5593	4.014	5.0461	3.8344	3.2589	4.264	3.2953	2.9356	3.7683	5.4126	3.3697	4.625	6.5753	4.6014
"AC005592.3"	8.1383	6.1164	6.3389	5.8814	5.1291	6.1251	6.908	6.8326	5.8987	6.3341	5.993	5.9359	6.7576	5.3356	6.6671	3.6879	5.1761	6.4123	6.6674	6.5835	5.7298	5.6773	3.2765	5.0055	5.3333	7.1118	5.9729	5.0741	7.5564	6.8265
"AC005606.14"	6.1772	4.541	3.5938	4.0961	2.2887	3.1157	7.0252	4.5135	4.0743	3.9226	3.6311	6.1904	3.6479	5.6256	6.6393	5.3023	3.0725	4.1783	4.8679	5.9106	4.4369	6.4211	2.9629	4.1423	3.8124	2.8721	6.1414	7.8393	3.9198	4.0729
