"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"A1BG-AS1"	4.7054	4.9395	4.5729	4.9424	4.2235	4.5189	5.1347	4.8765	5.5388	4.581	4.2006	4.5716	4.4742	4.4535	4.2689	4.3416	4.4196	4.3683	4.4205	4.4229	4.5991	4.6413	4.2511	4.3112	4.511	4.3594	4.693	4.5789	4.3857	4.2573
"A2M-AS1"	7.5824	7.4595	4.2074	4.2556	4.4969	3.8885	3.5262	5.1585	6.8504	5.7126	7.8425	6.9303	7.9537	7.0847	7.5154	6.8166	6.4186	7.4528	7.1445	6.9721	5.2467	6.6453	8.3724	7.7428	8.1686	5.3338	6.4842	6.8955	6.4202	7.2163
"AA06"	5.0572	5.3975	4.3146	4.9727	4.8326	4.8326	5.2502	4.8326	4.6377	4.6552	4.837	4.6642	4.7661	4.7473	4.9287	5.049	4.2893	4.9862	4.8326	4.8875	4.7047	4.583	4.7926	4.8662	4.7743	4.6052	4.9399	5.1092	4.7603	5.0606
"ABHD14A-ACY1///ACY1"	5.8355	5.8573	5.3894	5.244	5.2335	5.4942	5.8869	5.7712	5.3817	5.379	6.0676	5.957	5.7005	5.6726	5.6899	5.7714	5.7854	6.0167	5.5717	5.4505	5.998	5.4277	5.6862	5.5372	5.9144	5.9361	6.1465	6.2993	5.7065	5.3803
"ABI2///RP11-363J17.1"	4.4233	3.5269	3.8367	4.14	3.8381	3.7042	3.7522	3.7093	3.9754	3.6661	3.4397	3.6249	3.7806	3.6249	3.9884	3.1307	3.4642	3.8408	3.6827	4.043	3.7625	3.4379	3.2769	3.9118	3.8267	3.8643	4.3966	3.7612	3.7806	3.6935
"AC000111.3"	2.373	2.5357	2.3425	2.3887	2.2242	2.5325	2.5236	2.2292	2.3254	2.2852	2.3458	2.3436	2.3142	2.2233	2.4014	2.3436	2.0964	2.4113	2.519	2.4025	2.354	2.1993	2.2521	2.2038	2.3514	2.3262	2.4356	2.3199	2.246	2.4606
"AC002059.10"	4.9713	4.6199	4.3364	4.6088	4.7016	4.7391	4.8377	4.7567	3.9537	4.3765	4.4869	4.4609	4.4212	4.3379	4.2343	4.2817	4.042	4.512	4.6951	4.6013	4.7361	4.0477	3.9238	4.1165	4.1002	4.8141	4.5966	4.8237	4.4444	3.9247
"AC002064.5"	3.4111	3.3803	3.5736	3.3528	3.2663	3.5659	3.4489	3.3538	2.8465	3.2895	3.2861	3.1842	3.2571	3.1826	3.329	3.1706	3.0805	3.5412	3.2863	3.3977	3.2091	3.0317	2.9248	3.0786	3.1709	3.3317	3.4197	3.5618	3.407	3.5495
"AC002310.12///AK056973"	3.8995	4.0211	4.2317	4.1807	3.9943	4.3269	4.3732	3.9935	4.3881	4.1203	4.0214	3.8274	4.2418	4.3281	4.0363	4.171	4.3289	4.2766	4.2348	4.0822	4.1733	4.2297	4.1927	4.6002	4.1807	4.0148	4.3267	4.042	4.5571	4.0021
"AC002310.7///ZNF785"	4.5078	4.3208	4.1305	4.5879	4.3371	4.3746	4.4609	4.444	4.0798	4.2429	4.2489	4.1775	4.0916	4.2333	4.3333	4.3515	4.1059	4.5812	4.4638	4.3278	4.6287	3.8905	4.0218	4.1513	4.2372	4.4917	4.8932	4.6634	4.4184	4.1295
