"ID" "GSM1373914"	"GSM1373915"	"GSM1373916"	"GSM1373917"	"GSM1373918"	"GSM1373919"	"GSM1373920"	"GSM1373921"	"GSM1373922"	"GSM1373923"	"GSM1373924"	"GSM1373925"	"GSM1373926"	"GSM1373927"	"GSM1373928"	"GSM1373929"	"GSM1373930"	"GSM1373931"	"GSM1373932"	"GSM1373933"	"GSM1373934"	"GSM1373935"	"GSM1373936"	"GSM1373937"	"GSM1373938"	"GSM1373939"	"GSM1373940"	"GSM1373941"	"GSM1373942"	"GSM1373943"	"GSM1373944"	"GSM1373945"	"GSM1373946"	"GSM1373947"	"GSM1373948"	"GSM1373949"	"GSM1373950"	"GSM1373951"	"GSM1373952"	"GSM1373953"	"GSM1373954"	"GSM1373955"	"GSM1373956"	"GSM1373957"	"GSM1373958"	"GSM1373959"	"GSM1373960"	"GSM1373961"	"GSM1373962"	"GSM1373963"	"GSM1373964"	"GSM1373965"	"GSM1373966"	"GSM1373967"	"GSM1373968"	"GSM1373969"	"GSM1373970"	"GSM1373971"	"GSM1373972"	"GSM1373973"	"GSM1373974"	"GSM1373975"	"GSM1373976"	"GSM1373977"	"GSM1373978"	"GSM1373979"	"GSM1373980"	"GSM1373981"	"GSM1373982"	"GSM1373983"	"GSM1373984"	"GSM1373985"	"GSM1373986"	"GSM1373987"	"GSM1373988"	"GSM1373989"	"GSM1373990"	"GSM1373991"	"GSM1373992"	"GSM1373993"	"GSM1373994"	"GSM1373995"	"GSM1373996"	"GSM1373997"	"GSM1373998"	"GSM1373999"	"GSM1374000"	"GSM1374001"	"GSM1374002"	"GSM1374003"	"GSM1374004"	"GSM1374005"	"GSM1374006"	"GSM1374007"	"GSM1374008"	"GSM1374009"	"GSM1374010"	"GSM1374011"	"GSM1374012"	"GSM1374013"	"GSM1374014"	"GSM1374015"	"GSM1374016"	"GSM1374017"	"GSM1374018"	"GSM1374019"	"GSM1374020"
"A1BG-AS1"	4.6473	4.3322	4.8235	3.9267	4.6129	3.7405	3.7135	3.7153	4.1959	3.8935	3.7617	3.8546	4.2136	3.7275	3.9701	3.8383	4.0943	3.6623	4.0378	3.6767	3.8188	3.6214	3.8298	3.9284	3.821	3.806	3.4962	3.7699	3.9807	3.839	3.9701	3.8985	4.2815	3.2751	3.6129	3.5241	3.8534	4.1294	3.9295	3.5208	3.9859	3.6507	3.755	4.1073	3.7818	3.8535	3.9062	3.4816	3.3125	3.6048	3.6824	3.9453	4.1474	3.4933	3.6163	3.503	3.5573	3.6804	3.7629	3.8395	3.913	3.1188	3.4273	3.9586	3.7097	3.7395	3.9041	3.9018	3.432	3.641	4.0218	4.0665	3.881	3.4837	3.4569	3.9067	3.9361	3.5716	3.9391	3.8495	3.4754	3.6004	3.4334	3.4402	3.7007	3.6856	3.9202	3.5059	3.6753	3.6931	3.7977	3.0017	3.6225	3.9185	3.863	4.3549	3.7305	4.152	4.0988	4.0131	3.709	4.6848	4.251	3.6691	4.0374	3.7479	4.263
"A2M-AS1"	2.8435	3.9784	3.1031	4.0344	4.1454	4.3432	5.4433	5.8337	6.4381	4.9371	4.9015	4.5782	4.5538	4.4646	4.8341	3.1147	4.6213	4.7828	7.0218	5.6092	6.5616	5.4573	4.9031	5.056	4.6453	5.0804	5.4692	5.2444	4.2362	4.4316	6.353	6.0522	6.3793	6.7498	6.2284	5.8858	7.4059	5.183	4.957	5.1968	4.9436	5.1723	4.232	5.1433	5.6625	4.2268	3.4405	4.2192	4.2103	4.207	5.3362	3.4889	3.8955	7.8442	6.6109	7.6714	4.643	4.7148	4.1148	3.7621	5.0173	4.7441	7.157	6.8192	8.3192	4.4913	6.6762	3.9451	5.3906	4.6182	3.6728	3.8271	3.7463	4.8279	6.2901	6.4468	3.5064	4.6149	4.8789	5.1773	5.5895	5.0031	6.4733	7.355	6.689	6.3268	6.5906	5.841	6.9	7.9249	6.3671	7.2679	6.4448	6.815	7.3683	7.7584	7.8634	8.0047	9.0152	8.351	7.7347	8.6576	7.0429	7.9809	8.1395	7.6198	7.6025
"AA06"	4.2025	4.4206	3.7986	3.9466	3.5208	3.7167	3.6961	3.7521	4.0139	3.7742	3.4764	3.6694	4.1591	3.5865	3.8829	4.5617	4.0442	3.2525	4.1387	4.0978	3.3929	3.7501	3.8289	4.0952	4.0245	3.6548	3.648	3.9008	3.7176	3.7482	3.452	3.7781	4.2906	3.3183	3.6189	3.1771	3.6753	4.263	4.1768	3.6538	3.7317	3.7721	3.8682	3.6902	3.8237	3.7711	3.5407	3.5361	3.8756	3.7465	3.5467	4.1537	4.0968	3.6216	3.8603	3.4861	4.503	4.0085	3.6771	3.8985	3.6972	3.4408	4.0592	3.4632	4.1273	3.7731	3.4324	4.0253	4.299	3.9335	3.9071	3.8414	3.7602	3.8719	4.0294	3.8446	3.4579	3.8365	4.3321	4.3867	3.6021	4.0217	3.435	3.7438	3.9312	3.005	3.5913	4.1155	3.8922	3.6992	3.9376	3.6861	4.0279	4.3624	3.5382	3.9137	3.4784	3.9383	3.632	3.4852	3.5082	3.4484	3.7017	3.4298	3.463	3.7263	4.0727
"ABHD14A-ACY1///ACY1"	5.2523	4.7037	5.4785	5.2301	5.2884	5.2888	4.9885	4.863	4.9955	4.8767	4.6631	4.4433	4.5266	4.3997	4.7362	4.9723	4.9355	4.3158	5.3395	5.6311	4.958	4.5486	4.3614	4.3813	4.5945	4.8999	4.4922	4.9389	4.3497	4.0151	5.2994	4.872	5.4821	4.1981	4.476	4.5288	4.9169	5.2325	5.0777	4.755	4.572	4.6978	4.8752	4.9502	4.8445	4.3522	4.8558	4.9069	5.1853	4.418	4.4946	4.9669	4.3561	5.2323	4.8048	4.3766	4.6613	4.7855	4.6409	4.6541	5.5166	4.5219	4.4617	4.3149	4.8714	4.2272	4.9634	4.7065	4.7731	4.898	5.1211	5.241	4.8096	5.1349	5.1243	5.1236	4.887	4.8735	4.4396	5.117	4.625	5.0567	5.4001	5.2584	5.2392	5.3358	5.1844	5.042	5.5526	4.8596	4.9367	5.2717	5.3056	4.8214	5.3195	5.09	5.3076	5.4944	5.2969	5.2593	5.2939	5.1308	4.9375	4.9326	5.4484	4.7753	5.2504
"ABI2///RP11-363J17.1"	2.832	2.8522	2.3826	2.7059	2.1987	2.3882	2.5443	3.0981	2.8375	3.1204	2.8198	3.0457	2.9766	2.9209	2.8023	3.1004	3.552	2.8489	2.9266	3.2986	2.7886	3.0048	3.4976	2.9579	3.2714	3.1172	3.0465	2.7925	3.3655	2.7701	3.1707	3.6669	2.8316	2.8463	2.8421	2.9822	2.9013	3.0021	3.0567	3.0939	3.166	2.7482	3.1863	2.711	3.0903	2.6677	3.1359	3.1084	3.1925	2.8897	2.7631	4.0131	3.6913	3.2719	3.5994	2.8868	3.875	2.9028	3.0357	2.892	2.3642	2.7171	3.5881	2.5817	2.9789	2.9911	3.5421	3.6876	2.8728	2.7237	2.8662	3.2393	2.592	2.9358	2.6517	2.8878	3.3187	3.0955	2.8413	3.1423	2.9209	2.6577	2.56	2.6614	2.7152	2.5969	2.641	3.2512	2.8858	3.2187	3.4347	2.7074	2.9656	3.0492	3.6299	2.8895	2.2715	2.759	2.6867	2.7971	2.5228	2.7681	2.6106	2.8101	2.7207	3.0455	2.6388
"AC000111.3"	1.7677	1.6569	1.5772	1.6586	1.87	1.6105	1.7198	1.4162	1.6789	1.8006	1.7325	1.6312	1.5252	1.7212	1.6644	1.6061	1.6993	1.8168	1.6728	1.6964	1.4616	1.8008	1.5921	1.6805	1.9158	1.7122	1.6846	1.9744	1.7458	1.6919	1.5782	1.775	2.152	1.7049	1.8586	1.6568	1.7005	1.7501	1.6428	1.4793	1.5112	1.5191	1.8403	1.5739	1.7613	1.8457	1.8334	1.7508	1.6911	1.7104	1.6714	2.1136	1.7876	1.6177	1.7864	1.6155	1.8901	1.7958	1.8575	1.7763	1.6392	1.7457	1.9991	1.771	1.7327	1.6751	1.5335	1.7327	1.6278	1.5596	1.7574	1.6255	1.752	1.542	2.1157	1.6947	1.6422	1.6949	1.6757	1.9084	1.8229	1.5452	1.7079	1.7449	1.5584	1.6035	1.6068	1.7211	1.519	1.8857	1.7993	1.705	1.9207	1.9348	1.6068	1.6471	1.8142	1.6159	1.8018	1.6302	1.6688	1.6882	1.5701	1.5888	1.5101	1.7083	1.7647
"AC002059.10"	4.0093	3.3615	3.5713	3.2953	3.4302	2.8549	3.5985	3.0622	3.4803	3.3191	3.4492	3.5955	3.6619	3.6028	3.2023	3.6225	3.4633	3.4364	3.609	3.6243	3.4585	3.3695	3.3314	3.5876	3.1591	3.6657	3.786	3.0633	3.5174	3.1322	3.8184	3.4365	3.8609	3.4091	3.6018	3.2063	3.5386	3.7706	4.0606	3.3422	3.3982	3.4388	3.6466	3.29	3.78	3.7033	3.2825	3.0452	3.1997	3.3916	3.2969	4.1561	3.1993	3.3598	3.9492	3.2243	3.5481	3.7382	3.5348	3.189	3.6299	3.1573	3.7486	3.4887	3.6717	3.3127	3.4981	3.2131	3.6072	3.905	3.507	3.3353	3.1056	3.7513	2.9486	3.5058	3.5982	3.7492	3.5038	3.8126	3.6627	2.97	3.0339	3.4857	3.1393	3.0389	3.3629	3.2984	3.5328	3.6289	3.8162	3.4259	3.7209	3.7077	3.8675	3.2619	3.2137	4.0351	3.4024	3.5955	3.4828	3.704	3.4812	3.5229	3.2754	3.5847	3.5059
"AC002064.5"	2.8061	2.6368	2.8971	3.2378	2.8255	3.0202	3.0001	3.5118	3.2672	2.9252	2.7917	2.5035	2.9235	2.396	2.8077	2.9653	3.6394	2.6865	2.9452	2.9145	2.6778	2.5177	2.8255	2.9211	2.7228	2.8523	2.8359	2.4798	2.6184	2.6866	2.9279	2.7652	2.885	2.6797	2.7792	2.7558	3.0535	2.782	3.1329	2.8804	2.8161	2.8752	2.858	2.8038	2.8519	2.9087	2.8554	2.5743	2.9596	3.1261	2.6585	3.0606	2.8792	3.3994	3.1408	2.8708	2.956	2.8773	2.7165	2.5364	2.7581	2.374	2.6083	2.8444	2.8752	2.9634	2.4478	2.8793	2.4889	3.0331	2.8335	3.1316	2.6837	3.287	2.6288	2.6082	2.4832	2.6261	2.7316	3.0559	2.8604	2.595	2.6902	2.6617	2.8339	2.5804	2.9699	2.5847	2.7449	2.8976	3.4407	3.2234	3.3333	2.8223	3.0322	2.8381	2.8237	2.7304	2.5348	2.641	2.9414	2.7037	3.0599	2.7278	2.6629	3.1725	2.7297
"AC002310.12///AK056973"	3.9209	4.6236	3.811	4.0484	4.0595	3.8679	4.2459	4.2369	4.3693	4.5519	4.1848	4.6651	4.82	4.1482	4.0962	4.0315	4.1075	4.7218	4.2737	4.3391	3.7971	4.6639	4.1553	3.8495	4.0377	4.6022	4.5366	4.5503	4.4457	4.5768	4.5089	4.4847	4.6157	4.481	4.1845	3.8988	4.0728	3.9723	3.7308	4.3559	4.4733	4.1802	3.6065	4.044	4.0072	4.4083	4.5887	4.001	3.9946	4.1607	3.6597	4.3678	4.6406	3.5751	4.2864	4.0238	3.9469	4.5536	4.3599	4.4616	4.3655	3.9025	4.0217	3.8827	4.0754	4.6957	4.0716	4.4452	4.1254	4.409	4.3898	4.5397	4.3256	3.9597	4.0002	4.7572	3.89	4.1254	3.8956	4.2951	4.178	3.9607	4.257	3.8323	4.0473	4.4742	3.8918	3.9652	4.0034	3.9794	4.1976	3.8266	3.8536	4.1344	3.9704	3.4036	3.4922	4.0177	3.5293	3.5059	3.7166	3.7059	4.0721	4.0284	3.7648	3.8261	3.2259
"AC002310.7///ZNF785"	3.8896	3.9711	4.4336	3.1688	3.4547	3.4864	3.4656	3.4951	3.3784	3.8379	3.3592	3.54	3.7154	3.4694	3.54	3.5656	3.6808	3.1258	3.5658	4.317	3.3517	3.447	3.1299	3.7101	3.1148	3.6119	3.5035	3.5046	3.4396	3.182	3.4536	2.9711	3.3487	3.0791	3.5962	2.9622	3.7407	3.8001	3.9305	3.265	3.1779	3.2799	4.0428	3.614	3.322	3.6274	3.4334	3.2586	3.4697	3.4174	3.3163	3.8143	3.673	3.705	3.3763	2.8176	3.8967	3.5258	3.4886	3.108	2.781	3.5793	4.0138	3.7607	3.6052	3.1011	3.4443	3.5453	3.302	3.5461	3.7343	3.4579	3.4604	3.459	3.1652	3.3882	3.6381	3.4678	3.5518	3.7178	3.1112	2.772	3.6355	3.485	3.1566	2.9656	3.6365	3.9353	3.77	3.7813	3.7717	3.5235	3.4468	3.7273	4.2385	3.2322	3.1357	3.5973	3.3462	3.2786	3.8064	3.8293	3.5257	3.3242	3.0179	3.5694	3.5916
