"ID" "GSM201230"	"GSM201231"	"GSM201232"	"GSM201233"	"GSM201234"	"GSM201235"	"GSM201236"	"GSM201237"	"GSM201238"	"GSM201239"	"GSM201240"	"GSM201241"	"GSM201242"	"GSM201243"	"GSM201244"	"GSM201245"	"GSM201246"	"GSM201247"	"GSM201248"	"GSM201249"	"GSM201250"	"GSM201251"	"GSM201252"	"GSM201253"	"GSM201254"	"GSM201255"	"GSM201256"	"GSM201257"	"GSM201258"	"GSM201259"	"GSM201260"	"GSM201261"	"GSM201262"	"GSM201263"	"GSM201264"	"GSM201265"	"GSM201266"	"GSM201267"	"GSM201268"	"GSM201269"	"GSM201270"	"GSM201271"	"GSM201272"	"GSM201273"	"GSM201274"	"GSM201275"	"GSM201276"	"GSM201277"	"GSM201278"	"GSM201279"	"GSM201280"	"GSM201281"	"GSM201282"	"GSM201283"	"GSM201284"	"GSM201285"	"GSM201286"	"GSM201287"	"GSM201288"	"GSM201289"	"GSM201290"	"GSM201291"	"GSM201292"	"GSM201293"	"GSM201294"	"GSM201295"	"GSM201296"	"GSM201297"	"GSM201298"	"GSM201299"	"GSM201300"	"GSM201301"	"GSM201302"	"GSM201303"	"GSM201304"
"A1BG-AS1"	0.979	0.8785	1.1127	0.8871	0.8141	0.8696	1.2994	1.1144	1.0134	1.0798	1.1909	1.1211	0.9367	0.9074	1	1.2399	1.2029	1.2009	1.0711	1.2268	1.1782	1.0759	1.0835	1.0285	0.7298	1.036	1.1063	0.9774	1.3743	1.0534	0.9994	0.9877	0.9816	1.0622	1.2892	0.9247	1.6963	0.9043	0.9981	1.1082	0.7687	1.3007	0.8913	1.0001	0.9192	1.3999	1.1844	1.2196	0.8433	1.3775	1.0642	1.0876	0.9597	1.044	0.9075	0.9926	1.1511	0.9092	0.9743	1.1326	0.9449	0.9032	0.9095	1.4082	1.6533	1.0349	1.0679	0.8739	1.0868	0.9267	0.7899	0.9267	0.9625	0.8736	1.0523
"A2M-AS1"	0.5481	1	0.7918	0.8443	1.1398	1.7604	0.7184	0.5926	1.3217	3.0943	1.9284	3.5474	0.805	2.5256	0.9528	0.351	0.8252	0.2279	0.4693	0.369	0.1983	0.3052	0.2247	0.3209	0.7007	0.7439	0.403	0.6528	0.2988	0.4304	0.2731	0.6855	0.9935	0.2166	0.5091	0.384	0.2706	0.2614	0.356	0.609	1.6343	0.4421	1.0815	1.0693	0.7722	0.94	1.014	0.2035	0.4356	0.2508	0.3418	0.3233	0.3281	0.4465	0.4171	0.3593	0.4211	1.8919	0.2834	0.4306	0.8866	0.4293	1.0587	0.3116	0.4234	0.4313	0.6049	0.5755	0.2535	0.9228	3.6192	0.6832	1.7298	0.6148	0.2904
"AA06"	1.0184	0.8121	0.9493	1.0088	0.9709	0.8722	1.2937	1.4408	1.05	1.0883	0.888	1.0744	0.8219	1	0.9809	0.9302	0.9714	1.0632	0.8832	1.1389	0.9045	0.9814	1.178	1.0127	0.7054	0.7638	0.9815	0.7555	0.8199	1.0807	0.9041	0.8782	0.8768	0.9888	1.5122	0.7088	1.3131	1.1469	0.7413	0.8481	0.7581	1.0328	1.0374	0.9864	0.7809	0.7994	0.7458	1.2593	0.945	1.0805	0.7602	1.081	1.2098	1.0544	0.9415	0.923	0.8868	0.833	0.925	1.0314	0.7027	0.7977	0.7359	1.1167	1.4856	0.9598	0.9774	1.0799	0.8546	1.0193	0.8352	0.9812	0.8133	0.8344	0.9611
"ABHD14A-ACY1///ACY1"	1.26	0.797	0.9802	0.8469	0.9197	1.1209	1	1.9698	1.1842	1.0299	0.9803	0.9549	1.009	0.8009	1.0156	1.4641	0.6167	1.1031	0.8913	1.3645	0.695	0.9069	1.5214	1.0605	0.708	1.0311	0.8627	1.0211	1.551	0.7542	0.912	1.0361	1.168	0.9184	0.9903	0.8885	1.5532	1.0117	1.0426	0.8157	0.7767	1.1644	0.9404	1.092	0.8789	1.0624	0.8562	1.406	1.2431	1.5328	0.7156	0.8452	1.0954	1.1573	0.8535	0.9512	0.9223	0.893	1.2086	1.0328	0.891	0.9579	1.1519	0.8841	1.0752	0.8343	1.11	1.2445	1.0259	1.0741	1.0564	0.7594	0.9767	1.1738	0.932
"ABI2///RP11-363J17.1"	1.0521	0.887	1	0.9949	1.142	0.8523	1.3175	1.2528	1.0325	1.1385	0.9882	1.3352	0.8767	0.8437	0.9684	0.8326	1.0154	1.2912	0.9094	1.3222	1.021	0.9073	1.0547	0.856	0.916	1.2658	1.3954	1.1582	0.8448	0.9547	1.0269	0.9187	0.9072	1.0049	1.0443	0.9203	1.5369	1.1152	0.8679	1.0206	1.0472	1.3216	0.9943	0.8527	1.1711	0.841	0.8787	1.5614	1.1687	1.5576	0.9558	0.8732	0.8856	1.0479	1.2528	1.7386	0.987	0.8678	0.897	1.1423	0.7569	0.8529	0.8195	1.1051	0.9706	1.062	1.0892	1.2075	0.7818	1.0526	1.0497	1.3388	0.9747	0.8038	1.2566
"AC000111.3"	1.0167	0.9777	0.9659	1.1213	0.9789	1.0649	1.0036	1	1.0499	1.0873	0.9466	1.0258	0.9423	0.9001	0.9808	0.9851	1.0706	1.0528	1.0715	1.0651	1.1644	1.0883	1.0099	1.0699	1.1843	0.972	1.0191	1.0194	0.9723	1.1864	1.1335	1.0731	0.9862	0.9638	1.2248	1.1384	1.0976	0.8902	1.0849	1.0549	1.0538	1.0228	1.0348	1.2728	1.1579	1.107	0.9433	1.1171	0.9899	0.9659	1.078	1.0024	0.9641	1.2481	1.236	1.0502	1.0595	1.1236	1.0141	0.9707	1.0213	1.0717	1.0987	1.0258	1.0401	1.1377	0.9404	0.9927	1.1723	1.0327	1.0665	0.9941	1.049	1.1762	1.0993
"AC002059.10"	0.9974	1.2027	1	0.9653	1.2571	1.0369	1.0085	1.3453	1.1613	1.3997	0.8685	0.7517	0.9958	0.7173	0.9165	0.7347	0.7621	1.0799	1.2461	1.7707	1.0431	1.0276	0.7809	1.8015	1.1302	1.088	0.836	1.5817	1.904	0.9263	1.0456	1.3292	1.3911	0.994	1.0327	0.9996	1.6072	1.2787	1.3494	1.06	1.1107	1.6495	1.2952	0.9316	1.328	0.8382	0.8006	1.3008	1.5781	2.1661	1.0859	1.0122	1.2319	1.825	1.538	1.1638	0.8872	1.3607	1.4571	0.9747	0.9603	1.3519	1.0906	1.1319	0.8892	1.1153	1.3899	1.2422	1.2134	1.1961	1.349	1.2076	1.2477	1.0526	1.7487
"AC002064.5"	0.8975	1.1682	0.9745	1	1.1966	1.1231	0.7179	1.0667	1.0737	1.2725	0.9578	0.8888	0.9483	0.9306	1.1329	0.8603	1.2086	0.9827	1.0313	1.1704	0.9688	1.0011	0.9394	1.1682	1.1569	1.0006	1.2545	1.3325	1.1289	1.0117	0.9075	0.9916	1.0703	0.9573	0.976	0.9173	1.595	1.1205	0.9921	0.9979	1.1106	1.1966	0.9484	1.0301	1.0706	0.7252	1.1271	1.2801	1.1952	1.7305	0.9432	0.9002	1.2345	0.9896	1.0914	1.0555	1.1031	1.1037	1.0902	0.876	0.9617	0.9569	0.9591	1.1362	0.8437	1.0892	1.0386	1.0852	1.081	1.1293	1.3866	0.9318	0.9788	0.9322	1.246
"AC002310.12///AK056973"	0.8654	0.9012	1.1249	0.9803	1.1438	1.0287	0.9182	0.8105	1.0219	0.8824	1	1.2758	1.2656	1.1578	0.858	1.2729	0.9725	0.7757	0.9538	1.0026	0.9764	1.1348	1.3815	0.7698	1.2864	1.1108	1.2671	1.0464	0.9579	1.3169	1.0235	1.148	1.0877	1.033	0.7126	1.1404	0.7832	0.9359	1.3472	1.1541	1.1391	1.0604	1.0993	1.1597	1.2629	1.252	1.1176	0.9583	1.0897	0.733	1.2831	1.1811	0.9145	0.9431	1.2017	0.8768	0.7611	1.0001	0.9782	1.4804	1.07	1.2131	1.1437	1.1958	0.7825	1.2739	1.1541	0.8926	1.1711	0.8327	1.3205	0.9706	1.3545	1.0575	0.9702
"AC002310.7///ZNF785"	1.0445	1	1.0669	0.9237	0.9081	0.9798	1.4679	1.3578	0.8212	1.05	0.9864	1.3139	0.8013	0.7572	1.028	0.8635	0.8456	1.245	1.0893	1.4606	1.1165	0.9212	0.9938	1.1449	0.9741	1.0857	0.8597	0.9232	1.3591	0.9503	1.0914	1.1829	1.0724	0.7705	1.3063	0.9279	1.4888	1.1191	1.0101	1.0461	0.7578	1.4004	1.3087	0.9052	1.12	0.7816	0.7379	1.5049	1.2071	1.6521	1.1442	0.9362	0.9729	1.5121	0.9188	1.0552	0.9211	1.408	1.1586	1.0767	0.8941	0.8936	0.9329	1.0667	1.2289	1.1456	1.158	0.9698	0.9633	1.4556	0.9256	1.0749	1.1854	0.8901	1.2681
