"ID" "GSM2500349"	"GSM2500350"	"GSM2500351"	"GSM2500352"	"GSM2500353"	"GSM2500354"	"GSM2500355"	"GSM2500356"	"GSM2500357"	"GSM2500358"	"GSM2500359"	"GSM2500360"	"GSM2500361"	"GSM2500362"	"GSM2500363"	"GSM2500364"	"GSM2500365"	"GSM2500366"	"GSM2500367"	"GSM2500368"	"GSM2500369"	"GSM2500370"	"GSM2500371"	"GSM2500372"	"GSM2500373"	"GSM2500374"	"GSM2500375"	"GSM2500376"	"GSM2500377"	"GSM2500378"	"GSM2500379"	"GSM2500380"	"GSM2500381"	"GSM2500382"	"GSM2500383"	"GSM2500384"	"GSM2500385"	"GSM2500386"	"GSM2500387"	"GSM2500388"	"GSM2500389"	"GSM2500390"	"GSM2500391"	"GSM2500392"	"GSM2500393"	"GSM2500394"	"GSM2500395"	"GSM2500396"	"GSM2500397"	"GSM2500398"	"GSM2500399"	"GSM2500400"	"GSM2500401"	"GSM2500402"	"GSM2500403"	"GSM2500404"	"GSM2500405"	"GSM2500406"	"GSM2500407"	"GSM2500408"	"GSM2500409"	"GSM2500410"	"GSM2500411"	"GSM2500412"	"GSM2500413"	"GSM2500414"	"GSM2500415"	"GSM2500416"	"GSM2500417"	"GSM2500418"	"GSM2500419"	"GSM2500420"	"GSM2500421"	"GSM2500422"	"GSM2500423"	"GSM2500424"	"GSM2500425"	"GSM2500426"	"GSM2500427"	"GSM2500428"	"GSM2500429"	"GSM2500430"	"GSM2500431"	"GSM2500432"	"GSM2500433"	"GSM2500434"	"GSM2500435"	"GSM2500436"	"GSM2500437"	"GSM2500438"	"GSM2500439"	"GSM2500440"	"GSM2500441"	"GSM2500442"	"GSM2500443"	"GSM2500444"	"GSM2500445"	"GSM2500446"	"GSM2500447"	"GSM2500448"	"GSM2500449"	"GSM2500450"	"GSM2500451"	"GSM2500452"	"GSM2500453"	"GSM2500454"	"GSM2500455"	"GSM2500456"	"GSM2500457"	"GSM2500458"	"GSM2500459"	"GSM2500460"	"GSM2500461"	"GSM2500462"	"GSM2500463"	"GSM2500464"	"GSM2500465"	"GSM2500466"	"GSM2500467"	"GSM2500468"	"GSM2500469"	"GSM2500470"	"GSM2500471"	"GSM2500472"
"A1BG-AS1"	6.3129	6.1705	6.6592	6.2418	6.3349	6.9069	6.4121	6.331	6.351	6.7377	6.8203	6.6479	6.052	6.2508	6.3829	6.1749	6.3349	6.578	6.598	6.4742	6.4323	6.931	6.5379	6.5065	6.3544	6.4187	6.5255	6.3911	6.85	6.8175	6.4376	6.0211	6.1143	5.998	6.5009	6.1746	6.2642	6.4981	6.1646	6.4296	6.9843	6.7157	6.0509	6.61	6.4021	6.2564	6.446	6.5904	5.9399	6.3736	6.216	6.1395	6.3023	6.6638	6.4243	6.2369	6.4874	6.4295	6.3269	6.1388	6.238	6.4797	6.0838	6.3262	6.168	6.4919	6.2345	6.7232	6.5305	6.4307	6.2999	6.2544	6.1322	6.2732	6.6082	6.8095	6.4545	6.4213	6.2703	6.1954	6.3276	5.9484	6.429	6.3454	6.7485	6.6142	6.4073	6.4315	6.0618	6.2042	6.3265	5.9556	5.9758	6.1166	5.9348	6.5163	6.1071	6.1336	6.8939	6.3681	6.4524	6.6899	6.2904	6.2942	6.5983	6.5882	6.0423	6.3211	6.2279	6.3289	5.8174	5.9897	5.9792	6.1674	6.2583	6.4358	6.9869	6.5107	6.6161	7.0056	6.3035	6.4673	6.3455	6.6161
"A2M-AS1"	6.277	6.5989	7.4815	6.6369	6.808	7.7086	7.9497	8.2926	6.7795	7.8475	6.2168	6.8555	7.99	6.7151	6.9222	5.3224	8.4298	6.7331	6.8845	6.7907	6.3207	7.079	4.6669	4.8863	4.302	3.7984	3.8466	3.5691	4.4418	4.6019	3.2285	5.0396	4.9572	6.1139	4.8952	5.6582	5.5446	6.3964	4.0215	4.5832	4.2898	4.948	3.9818	5.9324	3.6147	4.7039	3.0669	4.7653	4.68	3.9106	4.1487	5.6268	4.5942	4.2033	4.4767	3.3244	3.4556	4.518	4.9307	5.1408	3.5115	3.9624	5.3315	5.0377	3.8437	4.858	5.597	5.6729	4.7217	6.266	3.4892	4.1411	3.8928	4.455	5.0224	5.48	5.7228	5.5896	4.4411	4.227	4.1022	4.5908	3.1289	3.8493	5.2882	4.599	3.3477	4.7556	4.2153	4.7546	4.3467	4.5903	4.9846	4.5003	4.9979	4.0529	5.376	5.112	3.7402	3.9183	4.521	3.4519	4.2334	4.8022	4.6693	4.1628	3.4026	4.6729	4.5337	4.8509	5.7457	6.1419	4.7636	4.7781	3.6288	3.8177	4.5136	4.2323	4.2993	5.2001	4.0723	4.6652	4.5887	3.9062
"AA06"	3.8131	3.6518	3.8354	3.8159	3.5847	3.7471	4.2117	3.7067	3.8216	3.8058	3.6865	3.6962	3.7614	3.8448	3.625	3.5584	3.7336	3.7067	3.7454	3.4657	3.726	3.6826	3.7617	3.6299	3.4914	3.7497	3.685	3.906	3.7982	3.6992	3.7497	3.735	3.7982	3.7982	3.8416	3.8201	3.8271	3.6957	3.6936	4.004	4.0896	3.8135	3.6957	3.6856	3.7497	3.9169	3.5579	4.0473	3.4649	3.5428	3.8047	3.7099	3.754	4.0229	3.67	3.6856	3.5625	3.5854	3.8648	3.6972	3.281	3.8308	3.8135	3.851	3.5579	3.9409	3.8135	3.8135	3.9418	3.9793	3.79	3.9053	3.4635	3.7075	3.6188	3.7937	3.8857	3.8075	3.6991	4.2778	4.1976	3.7408	3.9841	3.7408	4.0101	3.8844	3.6991	3.7783	4.0379	3.6992	3.7299	4.1072	3.7296	4.0469	4.0765	4.1649	3.6134	3.6914	3.8225	4.1662	3.8876	3.9361	3.7073	3.6949	3.6914	3.8938	3.6546	4.358	3.5503	3.8435	3.5663	3.9275	3.8534	3.7847	3.7299	3.7654	3.8416	3.6002	3.9171	3.7847	3.7849	3.7849	4.0807	3.6949
"ABHD14A-ACY1///ACY1"	5.5938	5.3001	5.6972	5.9522	5.4208	5.6412	5.5778	5.5983	5.4726	5.6973	5.5039	5.5796	5.6661	5.7998	5.7431	5.3063	5.6124	5.3107	5.6568	5.5836	5.8304	5.8762	4.6538	5.4636	5.0457	5.3041	5.2537	5.566	5.9633	5.0551	5.3968	5.3512	5.2409	5.0437	5.3916	5.2181	5.2366	5.6681	5.3783	5.4576	5.7558	5.4375	4.7038	5.2525	5.3563	5.4801	5.3658	5.7621	5.0045	5.0679	5.158	6.0855	4.6469	5.2402	4.9753	4.9344	4.8337	5.5034	5.7266	5.0208	4.9161	4.7388	5.2018	5.1924	5.3458	5.5309	5.161	5.7268	5.2126	5.4899	5.0947	5.1075	5.237	5.1883	5.5202	5.455	5.0638	5.2526	5.0116	4.899	5.0552	5.0919	5.2523	4.6579	5.2831	5.3265	5.4444	5.6027	5.0004	4.7727	4.9802	5.459	4.4741	5.254	5.492	5.2135	4.8368	5.1686	4.6086	5.2833	5.4087	5.7786	5.134	4.9862	5.195	4.7908	4.926	5.0471	4.8746	5.0767	5.0285	4.4781	5.1211	5.3117	4.9955	5.7229	5.3291	5.0993	4.8917	5.3472	5.0771	5.1403	4.9297	5.2592
"ABI2///RP11-363J17.1"	6.5611	6.8131	7.3911	6.1666	6.7096	7.0386	6.705	6.7878	6.1079	6.9347	6.7142	6.7342	6.7691	7.0206	6.9417	6.3744	6.4558	6.1714	6.628	7.0344	6.9112	7.1211	6.4958	5.5956	5.7495	5.0584	4.9726	5.9472	6.5417	5.8314	6.0143	5.8973	5.7478	5.7027	5.4738	5.8867	6.4121	5.7415	4.9231	5.815	6.3337	6.4712	5.413	6.1689	5.7358	5.6923	6.001	5.5372	6.2314	5.409	5.4867	6.8204	5.667	5.2938	5.307	5.2194	5.8842	6.0972	6.5141	5.7699	5.7484	5.1221	5.9582	6.3418	5.2306	5.9222	6.2327	6.6642	5.0435	6.4217	4.8392	5.0772	6.2325	5.2427	6.0065	6.7957	5.5422	5.6542	6.1683	5.9437	6.0482	5.7196	4.9915	5.0521	5.787	5.4524	6.0103	6.0583	6.9043	6.1785	5.5629	5.6793	5.6483	5.3126	6.0689	5.4047	6.1173	5.6533	5.7041	5.6554	6.5245	5.6702	5.698	5.9066	5.735	4.9062	5.4486	5.5948	6.0431	5.5373	5.5462	5.4512	5.7162	5.902	6.003	5.9291	7.5623	5.7974	6.3715	5.8541	5.7652	5.6766	6.7255	5.217
"AC000111.3"	1.0136	0.9917	0.9917	1.0286	1.0498	1.0498	1.1565	1.0485	1.0485	1.474	1.0801	0.9917	1.0136	0.9917	1.2405	0.8797	1.0498	1.0485	1.3296	1.0485	1.1064	1.0801	0.9137	1.621	0.9137	0.9137	1.7403	1.1553	1.0504	1.0504	0.9137	0.9137	1.0504	1.0504	0.9137	0.9137	1.0539	1.0715	1.0666	1.0666	1.1378	1.0073	1.0891	1.0539	1.453	0.9137	0.9835	0.9835	1.0666	1.0666	1.4057	1.0539	1.0624	1.4334	1.0891	1.0715	1.22	1.1535	1.0666	1.2488	1.0073	1.0073	1.1378	1.0249	0.9835	0.9835	1.0073	1.0073	0.9835	1.5034	1.0073	1.0073	1.0008	0.8832	1.0468	1.0468	1.4113	1.4113	0.8436	1.3074	1.1648	1.0468	1.441	1.4629	1.184	1.032	0.8832	0.9598	1.0504	1.4978	1.0431	1.603	0.9265	1.2718	1.0528	1.3149	1.2156	1.0583	1.3333	0.9734	1.0583	1.0583	1.0784	1.1189	1.0542	1.075	1.0608	1.0608	0.9996	0.9996	0.9734	1.2888	1.0656	0.9641	1.0431	1.0431	1.2066	0.9265	1.5156	1.1965	1.0528	1.3663	1.1934	1.0608
"AC002059.10"	4.8611	3.9783	4.7391	4.5012	5.0744	4.505	4.7244	4.8126	4.4508	5.0051	4.6019	4.6375	4.494	4.7554	4.2354	5.0621	4.2707	4.8283	4.7729	4.5629	4.2763	4.5374	4.9558	3.8882	4.5437	4.8321	4.1145	4.6722	5.8755	4.3283	5.5383	4.5308	4.9066	4.5635	4.7559	4.9052	4.9941	3.8817	4.3976	4.3708	4.131	5.1768	5.3574	4.8052	4.6745	4.9421	4.2983	4.1628	5.0273	5.2723	4.2654	4.5251	4.4103	4.2287	4.1391	4.0436	3.6988	5.1428	5.3801	4.1825	4.299	4.5947	4.4445	5.1292	4.4899	4.7808	4.7901	4.7553	5.2193	4.7573	4.37	4.3778	4.7417	5.0645	5.1017	5.3699	4.4951	4.1284	5.2694	5.3611	4.3799	4.4976	4.5028	4.6078	3.8502	4.2968	4.7148	4.5573	4.2013	4.5273	4.0815	4.1821	4.0129	4.4145	5.0294	4.0912	4.1607	4.0414	4.4136	4.4609	4.5314	4.6404	4.6078	4.8547	4.5208	4.9414	5.1078	4.6147	4.426	4.6867	4.7311	4.9053	4.3997	4.9048	4.1939	4.5257	4.0877	4.1659	4.1075	4.3711	4.4714	4.1578	3.9433	4.8012
"AC002064.5"	3.306	2.8916	3.5616	2.6569	3.8343	3.4493	3.9744	2.811	2.7944	3.3863	2.9123	2.9593	2.2898	2.8916	2.5823	3.4683	3.2722	3.8943	3.2446	2.5161	2.9268	2.6307	2.5435	2.8847	3.6044	3.3986	2.2647	3.471	3.822	3.7425	3.4327	3.1297	3.5581	3.1206	3.0831	3.8446	3.4094	2.6737	3.3884	3.2706	3.035	3.3202	2.9262	2.7573	3.7386	3.5797	3.9341	2.8724	3.6319	3.9488	2.7795	4.2028	3.5611	2.6119	2.8691	3.301	4.1585	2.646	3.4978	3.4802	3.1477	2.7535	2.7381	3.3899	3.3454	3.41	3.7495	3.2269	3.4494	3.0257	3.1046	3.5658	3.4352	3.7313	3.357	3.666	3.3619	2.3676	4.2045	4.018	2.8909	3.445	2.9943	3.1363	2.4961	2.8647	3.0357	3.1513	3.1702	2.5976	2.5526	1.7195	2.8708	1.7894	3.5012	2.6848	2.8295	2.7197	2.766	2.823	2.4415	2.8205	3.0734	3.0373	3.0068	2.941	2.6187	4.049	4.0366	3.4896	1.8796	2.9121	3.5143	3.4687	3.0971	3.5435	2.7053	2.3621	2.4061	2.6015	3.5031	3.162	3.3588	3.3106
"AC002310.12///AK056973"	6.0575	5.8341	5.743	5.9263	5.6679	6.0854	5.1782	5.6685	5.7779	5.2829	5.7436	5.8233	5.9966	5.2531	5.8258	5.5665	5.5669	5.6073	5.6178	5.6318	5.413	5.7313	5.8691	5.7697	5.7585	5.7167	6.0989	5.7501	5.7409	5.5198	5.451	5.6469	5.6038	5.7765	5.6469	5.7594	5.6935	5.86	5.5002	5.5916	5.6145	5.5644	5.4818	6.2188	6.1951	5.8979	5.9956	6.2011	5.7399	5.7252	5.6484	5.8026	5.8271	6.0125	5.5232	5.4129	5.8113	5.625	5.2602	5.8529	5.9326	5.6585	5.5313	5.5575	5.7528	6.0055	5.4604	5.759	5.4127	5.7503	5.5594	5.5644	5.7378	5.665	5.8957	5.8645	6.0146	5.7325	5.5138	5.6029	5.3836	5.612	5.6791	5.6913	5.7081	5.5784	5.4925	6.0232	5.5193	5.7484	5.9398	6.2306	5.6535	5.6225	5.4507	6.0906	6.1782	5.8485	5.509	5.3716	5.8537	6.0184	5.8244	5.954	5.8383	5.5936	5.5336	5.6298	5.8604	5.5673	5.4521	5.7836	5.6791	5.7282	5.4195	5.2132	5.6352	5.9616	5.8602	5.592	5.4269	5.5249	5.509	5.8955
"AC002310.7///ZNF785"	5.1889	4.9912	5.0246	4.941	4.9768	5.2744	4.9754	4.6364	5.0732	4.7848	5.0485	4.8454	4.8626	5.1666	4.8851	4.9797	4.9788	5.0149	4.972	4.9299	5.4382	5.3614	5.0453	4.9978	5.1826	5.1181	5.0493	4.9428	5.4278	4.6982	5.3277	4.9478	5.1495	4.8936	5.1258	4.9109	5.2266	5.1383	5.0879	5.3185	5.4538	4.8851	5.0128	4.6733	4.8592	5.1721	4.8871	5.0534	4.9643	4.9124	4.8412	4.9145	5.0889	5.0483	5.0105	4.5968	5.2523	5.167	4.932	5.1841	5.1387	4.7061	4.8732	4.691	5.0586	5.3011	5.0233	5.3299	5.2361	4.9102	5.0429	5.0301	4.9091	4.827	5.347	5.1758	4.7872	5.2135	5.1196	5.073	5.4401	4.9016	4.9753	4.8823	4.8204	5.1694	5.1723	4.8829	5.0723	5.039	4.8986	4.9756	4.7459	5.2949	5.1803	5.3338	5.0655	5.0399	5.0416	5.1475	5.2372	4.8756	4.9715	5.2842	4.9532	4.6696	5.3272	4.9901	5.0505	4.9473	4.7033	4.7278	5.1468	5.4015	5.0268	5.3225	5.331	4.5486	5.1459	5.1585	4.9336	5.0835	4.8327	5.1852
