"ID" "GSM244467"	"GSM244468"	"GSM244469"	"GSM244470"	"GSM244471"	"GSM244472"	"GSM244473"	"GSM244474"	"GSM244475"	"GSM244476"	"GSM244477"	"GSM244478"	"GSM244479"	"GSM244480"	"GSM244481"	"GSM244482"	"GSM244483"	"GSM244484"	"GSM244485"	"GSM244486"	"GSM244487"	"GSM244488"	"GSM244489"	"GSM244490"	"GSM244491"	"GSM244492"	"GSM244493"	"GSM244494"	"GSM244495"	"GSM244496"	"GSM244497"	"GSM244498"	"GSM244499"	"GSM244500"	"GSM244501"	"GSM244502"	"GSM244503"	"GSM244504"	"GSM244505"	"GSM244506"	"GSM244507"	"GSM244508"	"GSM244509"	"GSM244510"	"GSM244511"
"A1BG-AS1"	1.0804	0.753	1.2055	0.738	1.1292	0.7867	1.0424	0.8624	0.9296	0.7861	1.1361	0.78	0.9328	0.7179	0.6625	1.016	1.0716	0.8101	1.2048	0.7702	0.9153	1	0.9009	0.7813	1.0832	1.2539	1.1066	0.9535	1.0804	1.3753	1.0176	0.9882	0.8815	0.9362	1.039	0.7915	0.74	1.0371	0.7882	1.0579	0.8595	1.0903	0.988	0.9229	0.7453
"A2M-AS1"	0.7327	1.8702	0.4369	0.6111	0.8927	2.2657	0.3696	0.9777	0.5341	0.4121	0.6145	0.6452	0.2708	0.6519	0.5932	0.7064	0.2978	1.2864	0.5854	0.6703	0.5	0.9496	2.3281	0.748	3.508	2.1403	3.0828	1.4178	0.4961	0.7696	1.5024	1	0.4135	0.3739	0.3399	0.3179	0.31	0.4033	1.5528	0.5877	0.7469	1.097	0.9291	0.5243	0.3995
"AA06"	0.91	1.0749	0.9321	0.8752	0.9671	1.0129	0.9728	0.8264	0.9821	0.9284	0.7831	1.0176	1.1068	0.7916	0.8326	0.8555	0.9796	0.8151	1.0001	0.7597	1.017	1.098	0.8408	0.7954	1.3035	1	0.9083	1.0651	1.1169	1.2956	0.6837	1.1087	1.1462	1.1845	0.9077	1.2094	0.8673	0.9348	1.0169	1.179	1.0378	0.7273	0.975	0.9362	1.091
"ABHD14A-ACY1///ACY1"	0.7344	0.7226	0.62	1.0471	0.898	0.9692	0.5829	0.4737	0.752	0.6701	0.724	0.5557	0.7033	0.6867	0.5395	0.7871	0.6654	0.5918	0.5867	0.4425	0.6168	1.1223	0.7166	0.9323	0.978	0.8387	1.1194	1.2344	1.5171	1.0391	1.2784	0.8723	0.9385	0.8166	1.0788	0.6898	0.6925	0.9013	1.0101	0.9322	1	0.8375	0.9272	1.1338	0.6289
"ABI2///RP11-363J17.1"	1.2494	1.1797	1.0203	0.8282	1.0438	1.0949	0.901	1.1071	0.9712	0.9508	1.1996	0.9721	1.0408	0.9165	1.0191	0.8369	1.0372	1.0334	0.7382	1.0582	1.2242	0.7626	0.8991	0.9624	1.3563	1	1.0237	1.2954	1.1869	1.2122	0.8717	0.9886	1.2875	0.8538	1.0954	1.2145	1.3263	1.0013	1.0478	0.9896	1.1722	0.9	0.8142	1.1376	1.6284
"AC000111.3"	0.9945	1.0105	1.0687	0.9796	1.0025	0.9578	0.9777	1.0111	0.9089	0.9161	1.1665	1.1179	1.0225	1.0418	1.0619	1.0367	1.0036	1.0267	0.9202	0.9596	0.976	1.025	0.8664	0.9244	1.0226	0.9273	1.086	1.0074	1.0127	1.0017	0.9961	0.9103	0.916	1.0316	0.8559	0.9213	1.0807	0.8878	1.0325	1.0126	1.1035	1	0.955	0.9329	0.9762
"AC002059.10"	1.4347	0.9089	0.8138	0.6083	1.0025	0.8128	0.9714	0.8351	1.2072	1.0164	1.3278	0.9129	1.2922	0.6663	0.7809	0.7305	1.3371	0.821	0.7735	0.896	1.1093	0.9622	0.7148	1	0.7521	0.7876	1.5348	1.1412	1.2769	1.045	1.0414	1.3348	1.7621	0.8888	2.4543	1.3265	0.9472	1.081	0.9405	0.946	0.8358	0.8724	1.3981	0.9489	0.9424
"AC002064.5"	1.0465	1.0459	1.1114	0.9009	1.0878	1.0264	1.1191	1.1018	1.1802	1.0234	1.1864	1.1274	1.1148	0.8604	0.9454	1.0677	1.4865	0.96	1.3222	0.8579	1.165	1.1369	0.8821	0.9342	0.9372	0.9833	1.0785	1.0586	1.0978	0.7353	1.1082	1.0201	2.0543	0.8712	1.4941	1.6737	1.2364	1.0649	1.4304	0.9942	0.7185	1	1.2253	0.8719	1.0268
"AC002310.12///AK056973"	0.7147	1.2557	1.5673	1.2634	0.9454	1.0704	1.3916	1.2208	1.1015	1.493	1.3094	1.8275	0.8906	0.9915	0.8852	1.57	1.5339	1.1392	1.2139	1.1282	0.8293	0.7829	0.9321	1.6149	1.1479	1.0138	0.9248	0.8119	0.7332	1	1.1226	1.0744	0.7984	1.0325	0.7503	0.8886	1.5963	1.0878	1.1407	1.0898	1.087	1.0298	0.7358	0.8662	0.8447
"AC002310.7///ZNF785"	1.2911	0.9759	1.0069	0.8082	1.1862	0.9177	0.6893	0.8647	0.9649	0.7687	0.917	0.8327	1.0865	0.9518	0.7433	0.83	1.0364	0.7617	0.8477	1.0004	1.0138	1.384	0.7932	1	1.1733	0.8191	1.028	0.8812	1.4893	2.0627	1.0133	0.8484	1.0142	0.9133	1.0118	1.457	1.0201	1.2508	0.7677	1.0522	0.8834	1.0862	0.9823	0.8235	1.2819
"AC003973.4"	1.0832	1.4734	1.5712	1.1462	1.1708	1.194	1.2145	1.1373	1.1098	1.2843	1.348	1.292	1.4112	1.1106	1.1809	1.234	1.3205	1.2025	1.2292	1.2317	1.1431	1.0595	1.0729	0.9943	0.824	0.9532	0.9565	0.9202	1.0367	1	0.9117	1.0446	1.2855	1.6007	1.0522	1.2816	1.6234	1.0682	1.4572	1.3182	1.0349	1.0905	1.0895	0.9344	1.4024
"AC003986.5///BC043576"	1.2095	1.1475	0.9544	0.9871	0.9633	1.0216	1.3457	1.078	1.1822	1.2378	1.6761	1.271	1.1745	1.0502	0.9068	0.9188	1.6184	0.9632	1.5598	0.8124	1.2064	0.9575	0.8895	1.1264	0.8467	0.8777	1.0747	1.0183	1	0.7937	0.9313	1.0091	1.9505	1.128	1.1833	1.4664	1.614	1.0186	1.034	0.7576	0.7983	1.1547	1.1173	1.1876	1.2743
"AC004158.3///AK055364"	0.9144	0.9351	1.0503	0.7245	1.0198	0.8646	0.8886	0.7866	0.9352	0.854	1.284	0.7928	0.9025	0.8605	0.9694	0.9915	0.9528	1.2159	0.8031	0.8151	0.8713	1.051	1.0414	1.0367	0.8058	0.8821	1.0569	1.1015	0.9118	0.9329	1.0937	1.1225	1.1218	0.7297	1.1005	1.1412	1.013	1.0611	0.8101	0.9964	0.9021	1	0.8745	0.916	1.0314
"AC004490.1///AX746733"	0.9705	0.7343	0.9004	0.6248	0.8157	0.7739	0.934	0.9972	0.84	0.8897	0.6913	0.7026	0.8728	0.8344	0.9286	0.7854	0.8322	0.8498	0.9903	0.693	0.6776	1.2267	0.8855	1.1013	0.9951	0.9659	0.8463	1.0986	1.2492	1.2226	1	1.0161	1.2231	0.7323	0.8604	0.8272	0.8003	0.6675	1.0575	0.725	0.7973	1.2463	0.752	0.9571	0.6544
"AC004538.3///BC040327"	0.9461	1.1512	0.8904	0.8595	0.9345	0.7509	0.8259	0.8796	0.8927	0.8743	1.6698	0.8327	0.881	0.9336	0.7935	0.8627	1.1419	1.0889	0.8205	0.9819	0.9936	1.0192	1	0.764	0.8909	0.6951	1.5888	1.0585	1.0073	0.9321	0.8905	1.1949	1.0563	0.8368	1.0347	1.1608	1.1489	0.9394	1.1783	0.9279	1.1371	0.9122	0.8615	1.1184	1.0989
"AC004951.6///AX747182"	0.3444	0.696	6.5961	1.4863	0.6343	1.2244	1.1495	0.965	0.6176	1.6168	0.5114	1.2242	1.8119	0.882	1.1848	3.5712	0.9446	1.2516	1.6739	0.9328	0.383	1.1514	0.9972	1.4408	0.8975	1	0.9769	1.436	0.815	0.6406	1.3457	0.7261	0.2699	3.2451	0.5151	0.6542	0.8787	0.4345	1.4469	0.51	1.1776	1.8973	1.3182	0.683	0.247
"AC005162.4"	0.9766	1.1153	0.9928	0.7996	0.9589	1.0608	1.1966	0.9793	0.999	1.0121	1.2546	0.9485	1.264	1.0735	0.9475	1.0682	1.2391	0.8599	1.0195	0.9107	1.1437	1	0.6416	0.9287	0.9091	0.9325	0.9678	1.0534	1.1371	1.0105	0.9705	1.2088	1.6307	0.8152	0.9259	1.4792	1.1127	0.8627	1.0845	0.9948	1.0316	1.0095	0.9434	1.0479	0.9933
"AC005256.1"	0.6917	0.7717	0.9003	0.7054	0.757	0.6631	0.568	0.5657	0.6387	0.6721	0.7225	0.649	1.1199	0.9413	0.9568	0.8417	0.7802	0.6476	0.8316	0.7411	0.8309	0.8976	0.7777	1	0.9049	0.8624	1.4488	1.1424	1.5709	1.3043	0.87	0.8806	1.7523	0.8768	1.0047	0.9441	0.6132	0.8789	0.7731	0.8239	0.9177	1.983	1.2896	1.0167	0.7012
"AC005306.3"	0.9907	0.7228	1.3128	0.6439	0.5605	0.8161	0.6589	0.7209	0.7675	0.5417	0.947	0.7702	0.7963	0.5953	0.5775	0.6365	0.8091	0.9632	0.9035	0.7885	0.6666	1.1773	1.0152	0.7258	1.2247	0.8846	0.9977	1.2508	0.9877	1.4108	1.0751	0.821	0.5731	0.6374	1.0919	0.6037	0.7725	0.8043	0.6517	0.6759	0.9459	0.9612	1.0317	1	0.5436
"AC005498.3"	0.9591	1.3087	1.0967	0.8641	1.0041	0.8743	0.8666	0.8334	0.9128	0.9448	1.0352	0.9958	1.0099	1.0944	1.0848	1.0004	0.8615	1.2208	1.1191	1.0831	0.868	1.2076	1.0408	0.9264	0.8656	1.0429	0.8695	1.1016	1.2434	0.888	0.93	1	1.4753	0.9813	0.8488	1.1238	0.8285	1.0592	1.0462	1.0136	1.0979	0.9994	1.1361	0.9001	1.2834
"AC005523.2"	1.2673	1.8339	1.2834	1.7664	1.46	1.262	1.8304	1.3594	1.5222	1.008	1.0423	1.7392	1.514	1.1208	1.3013	1.2099	1.5767	1.4585	1.5972	1.2288	1.4719	1.116	1.2006	1.0853	0.9204	1.0356	0.8637	0.831	0.9295	0.4828	1.4786	1	0.9283	1.7148	1.2087	1.3529	1.1923	0.9548	2.1631	0.8975	1.1982	0.9251	1.5512	0.8384	0.7669
"AC005523.3"	0.8966	1.0751	1.1923	0.9691	1	0.8349	0.6385	0.7244	0.9575	0.6084	1.0444	0.9988	1.0821	0.961	0.9218	1.0446	0.9398	0.7688	0.861	0.9099	1.1142	1.1598	0.912	1.018	1.298	1.0198	1.0804	0.8722	0.9544	1	0.7541	0.9138	1.1923	1.0003	1.0211	1.1097	0.5932	0.8645	0.5752	0.8602	0.901	0.9052	1.1884	1.0592	0.8856
"AC005537.2"	1.1507	0.9439	0.9367	1.0104	1.2342	1.0949	1.1023	0.9786	1.0522	1.0198	1.3249	1.2931	1.0656	0.9468	1.1804	0.8983	1.2671	1.0474	1.0612	0.9573	1.2294	1.0077	0.7776	1	0.8824	0.8171	1.144	0.9475	1.2448	0.9857	1.255	1.2016	1.0591	0.9743	1.0033	1.1588	1.444	0.9314	1.283	0.9649	1.1689	0.9926	0.9723	1.1924	1.3111
"AC005592.3"	1.7148	1.2344	1.1277	1.1992	1.0016	1.166	1.2182	1.1163	0.7851	1.0142	1.9285	1.0017	0.907	0.7489	0.8671	0.9111	1.7716	0.955	1.0044	0.9968	1.1179	0.851	0.9766	1	0.8387	0.8487	1.5389	0.9668	0.7548	0.7512	1.1127	1.4132	1.16	0.8066	0.9961	1.6771	1.1982	0.8271	1.1429	1.0643	1.1303	1.1353	1.0832	1.502	1.4519
"AC005606.14"	1.3238	1.2623	1.0394	1.0946	1.2013	1.2079	1.0085	1.0438	1.2043	1.0595	1.1259	1.1223	1.096	1.0815	0.9313	1.1169	0.9505	0.955	1.1733	1.0536	1.0142	1.3211	0.9105	0.949	1.1277	1.0951	1.0592	1.0384	0.9643	0.9333	0.8991	1.0138	1.9153	1.4638	1.4623	1.3688	1.1044	0.8347	1.5022	0.8368	0.9112	0.9809	1.6541	1	1.0497
"AC005754.7///BC016751"	1.2485	1.0864	1.4406	1.1396	1.226	1.02	1.0696	0.931	1.0113	1.0663	1.0562	1.0402	1.3979	0.9952	0.997	1.2387	0.9096	0.9351	0.991	1.0004	1.0787	0.9288	0.958	1.1495	0.9133	1.0642	1	1.2322	1.5501	0.9819	0.8927	0.8801	1.6227	1.0676	1.3852	1.3149	1.0284	0.9928	1.0999	0.92	1.0091	0.9853	1.2627	1.0177	0.9229
"AC005785.2"	1.5829	1.5988	1.2701	1.1132	0.969	1.4229	1.1635	1.3975	1.2671	1.1217	1.3753	1.2994	1.2988	1.166	1.1742	0.9603	1.4063	1.0684	1.0555	0.8607	1.3751	1.1409	0.8962	0.8402	0.9164	1.146	1.3026	1	1.1762	1.0765	0.7876	1.0475	1.4333	1.2512	1.9341	1.5037	1.3157	1.3496	1.3811	1.3209	0.8984	0.8431	0.9631	1.2565	1.0331
"AC006026.13"	0.8784	0.6248	0.7411	0.8179	0.7022	0.6806	0.7827	0.7019	0.7184	0.6403	1.1044	0.6452	0.6419	0.7214	0.647	0.6499	0.8137	0.6827	0.7108	0.7209	0.8899	0.644	1.1706	1.7026	1	1.7341	0.844	1.0622	0.7625	0.752	1.0088	0.9276	0.8252	0.6553	0.8987	0.7007	0.6702	0.731	0.9598	0.5954	1.0015	0.9528	1.0365	0.9626	0.6984
"AC006129.2"	0.5011	0.4572	0.639	0.5761	0.4615	0.7833	0.8508	1.1701	0.8969	0.686	0.5245	0.5068	0.5094	0.6609	0.7858	0.4837	0.5472	1.091	0.5965	0.8601	0.5447	0.5289	1.4001	1.6381	0.9789	1.383	0.7222	1	0.5786	0.6485	0.744	1.3862	0.6128	0.5085	0.431	0.4764	0.7469	0.4895	0.8113	0.4818	1.5541	0.9381	1.1516	1.0237	0.4902
"AC006538.1"	1.2231	1.0356	0.8979	0.8247	1.413	0.9497	0.8584	0.8657	0.9259	0.6821	0.9091	0.9099	1.0643	0.8381	0.986	0.9497	0.9615	0.9314	0.8945	0.7871	0.9774	0.923	0.861	0.9716	0.9813	0.8727	1.0943	1.303	1.3383	1.3424	0.977	0.9255	1.68	0.7343	1.2632	0.9387	0.8873	1.0987	0.8572	1.0887	1.0514	1	1.4318	1.3749	0.969
"AC007228.11///BX647249"	1.2832	1.0188	0.9854	1.0079	0.9955	0.9975	1.122	0.9817	1.1556	1.1254	1.4909	0.9357	1.2136	1.0007	1.0902	0.7571	1.6011	0.7914	1.2647	0.7516	0.9742	1.2258	0.7131	1	0.8886	0.6825	1.1371	0.9452	1.1536	1.4112	0.8248	1.2094	1.5741	0.9443	1.551	1.5244	1.3369	1.1077	1.0571	1.0845	0.8742	0.8949	1.1591	1.0654	1.0766
"AC007255.8///BC038570"	0.9186	0.9295	1.0738	0.8691	0.9177	0.9359	0.9347	0.8626	0.9176	0.9647	1.0965	1.1669	1.2916	0.9896	0.8713	0.8924	1.1064	0.8792	1.0271	0.6356	0.992	0.9485	1	0.7686	0.8474	0.8861	1.1662	0.8823	1.2113	1.2801	0.9039	0.8915	1.5081	1.1147	1.479	1.4555	0.9829	0.7749	0.9635	0.8402	1.0076	1.1583	1.0585	1.4509	0.8948
"AC007292.3"	1.2901	1.7183	1.8559	0.7809	1.209	1.4085	0.9132	1.2205	1.2669	1.2423	1.4287	1.7231	1.4967	1.4655	1.3148	1.3284	1.2612	1.3769	1.2881	1.2079	1.2123	1.2969	1.0758	1.2228	1.361	1.1785	0.9813	0.9145	1	1.2176	0.8626	0.8163	0.9008	1.0101	1.3644	1.5373	1.005	1.1315	0.7804	1.0984	1.0074	0.9625	0.9801	0.9562	1.341
"AC007349.5"	0.8674	0.9615	0.7937	0.8471	0.8676	0.8318	0.87	0.8491	0.9168	0.8743	0.9747	0.8554	0.7935	0.886	0.81	0.9628	0.908	0.8113	0.851	0.9116	0.8698	1.0583	0.8349	0.7025	1.1449	1	1.122	1.0135	0.8519	1.0287	0.7873	0.905	1.2465	0.9136	0.9409	0.8897	0.9656	1.0267	0.8609	0.8463	1.1024	0.8859	1.0217	0.7915	0.7668
